date,avg_temperature_celsius,min_temperature_celsius,max_temperature_celsius,total_rainfall_mm,avg_rainfall_mm,max_rainfall_mm,avg_humidity_pct,sensor_count,rainfall_day_flag,total_arrivals_qtl
2026-06-18,21.888888888888893,21.888888888888893,21.888888888888893,44.1,44.1,44.1,38.0,1,1,202.24
2026-06-19,20.38888888888889,20.38888888888889,20.38888888888889,48.3,48.3,48.3,39.0,1,1,491.11
2026-06-21,24.7,24.7,24.7,0.0,,,59.0,1,0,688.38
2026-06-22,15.6,15.6,15.6,29.6,29.6,29.6,38.0,1,1,598.07
2026-06-23,30.27777777777778,30.27777777777778,30.27777777777778,6.9,6.9,6.9,45.0,1,1,1397.14
2026-06-26,23.72222222222222,18.22222222222222,29.22222222222222,79.5,39.75,43.7,71.0,2,1,1351.93
2026-06-27,35.27777777777778,35.27777777777778,35.27777777777778,28.956,28.956,28.956,,1,1,595.47
2026-06-30,22.4,22.4,22.4,32.2,32.2,32.2,60.0,1,1,370.15
2026-07-02,25.72222222222222,25.72222222222222,25.72222222222222,12.954,12.954,12.954,35.0,1,1,1357.89
2026-07-03,19.430555555555557,15.2,28.000000000000004,139.68200000000002,34.920500000000004,46.482,73.5,3,1,609.92
2026-07-06,34.111111111111114,34.111111111111114,34.111111111111114,25.654,25.654,25.654,71.0,1,1,1564.71
2026-07-08,17.72222222222222,17.72222222222222,17.72222222222222,14.7,14.7,14.7,32.0,1,1,157.13
2026-07-09,20.400000000000002,17.4,23.1,115.976,38.65866666666667,49.276,51.5,3,1,466.42
2026-07-11,31.2,31.2,31.2,1.27,1.27,1.27,69.0,1,1,1343.51
2026-07-14,28.3,28.3,28.3,42.7,42.7,42.7,89.0,1,1,487.76
2026-07-17,32.0,32.0,32.0,9.906,9.906,9.906,95.0,1,1,695.89
2026-07-19,25.68888888888889,19.1,32.27777777777778,57.599999999999994,28.799999999999997,49.8,52.0,2,1,387.84999999999997
2026-07-20,24.8,24.8,24.8,11.2,11.2,11.2,39.0,1,1,1262.99
2026-07-21,33.129629629629626,27.88888888888889,35.9,100.5,33.5,44.9,75.5,3,1,656.0799999999999
2026-07-24,18.105555555555554,18.1,18.111111111111107,60.082,30.041,46.482,66.0,2,1,1420.89
2026-07-26,28.6,19.0,38.2,18.034,18.034,18.034,70.0,2,1,1519.77
2026-07-27,30.75,28.88888888888889,32.611111111111114,29.718,14.859,23.622,57.0,2,1,1404.85
2026-07-28,27.38888888888889,27.38888888888889,27.38888888888889,9.7,9.7,9.7,,1,1,275.72
2026-07-29,17.3,17.3,17.3,47.5,47.5,47.5,74.0,1,1,1117.0900000000001
2026-07-30,27.666666666666668,19.7,38.3,76.524,25.508,38.3,68.0,3,1,473.18999999999994
2026-07-31,32.05,24.9,39.2,46.77799999999999,23.388999999999996,32.3,66.0,2,1,623.91
2026-08-01,29.27777777777778,29.27777777777778,29.27777777777778,30.734,30.734,30.734,64.0,1,1,617.08
2026-08-03,26.6,26.6,26.6,40.894,40.894,40.894,,1,1,1008.48
2026-08-05,29.77777777777778,29.77777777777778,29.77777777777778,0.0,,,50.0,1,0,1833.4
2026-08-08,32.547222222222224,19.7,39.888888888888886,59.416000000000004,14.854000000000001,24.1,71.33333333333333,4,1,1915.18
2026-08-09,21.63888888888889,16.5,26.77777777777778,54.2,27.1,43.4,32.0,2,1,1220.24
2026-08-12,31.4,31.4,31.4,43.18,43.18,43.18,,1,1,431.01
2026-08-13,28.277777777777786,28.277777777777786,28.277777777777786,23.5,23.5,23.5,61.0,1,1,405.65
2026-08-17,31.27777777777778,31.27777777777778,31.27777777777778,22.098,22.098,22.098,49.0,1,1,28.53
2026-08-19,32.13333333333333,29.9,33.3,64.6,21.53333333333333,42.3,33.0,3,1,322.08000000000004
2026-08-23,34.0,34.0,34.0,6.604,6.604,6.604,46.0,1,1,1403.02
2026-08-24,30.6,30.6,30.6,37.0,37.0,37.0,42.0,1,1,942.85
2026-08-25,30.25,27.88888888888889,32.611111111111114,81.1,40.55,49.7,75.5,2,1,1218.35
2026-08-26,34.6,34.6,34.6,34.9,34.9,34.9,89.0,1,1,328.47
2026-08-27,20.7,20.7,20.7,49.1,49.1,49.1,,1,1,565.03
2026-08-28,23.46666666666667,16.8,33.6,107.554,35.851333333333336,43.8,38.0,3,1,2105.06
2026-08-30,24.0,24.0,24.0,13.462,13.462,13.462,73.0,1,1,1040.87
2026-08-31,28.61111111111111,23.5,33.72222222222222,27.326,13.663,22.5,63.0,1,1,627.94
2026-09-02,15.3,15.3,15.3,24.7,24.7,24.7,95.0,1,1,2191.04
2026-09-03,19.54074074074074,16.5,21.9,32.094,10.698,27.178,59.666666666666664,3,1,794.8599999999999
2026-09-06,23.3,16.8,29.8,45.974000000000004,22.987000000000002,41.148,59.0,2,1,195.99
2026-09-07,20.3,20.3,20.3,26.8,26.8,26.8,73.0,1,1,176.59
2026-09-08,31.7,30.5,32.9,79.248,39.624,48.768,93.0,2,1,838.99
2026-09-09,25.0,25.0,25.0,12.191999999999998,12.191999999999998,12.191999999999998,30.0,1,1,326.59000000000003
