mandi_id,mandi_name,district,state,total_arrival_qty_qtl,arrival_record_count,farmer_count,avg_modal_price,avg_msp,price_below_msp_count,price_record_count,price_below_msp_rate,arrival_volume_rank,price_performance_rank,price_crash_rate_rank
MANDI024,Jaipur Mandi,Karnal,Haryana,24024.65,87,5696.0,3729.8382288588873,3639.704081632653,37,98,37.755102040816325,17.0,39.0,17.0
MANDI035,Guntakal Mandi,Ambala,Haryana,24003.02,92,5926.0,3664.910410544042,3633.298969072165,43,97,44.329896907216494,18.0,44.0,48.0
MANDI028,Machilipatnam APMC,Hisar,Haryana,23717.17,91,7389.0,3888.1621027930482,3831.227722772277,49,101,48.51485148514851,19.0,21.0,56.0
MANDI015,Amravati Grain Market,Bathinda,Punjab,23355.6,100,6879.0,3355.3031416537883,3289.770642201835,43,109,39.44954128440367,20.0,56.0,23.0
MANDI051,Gulbarga Market,Saharanpur,Uttar Pradesh,23314.59,97,6305.0,3944.462682160568,3839.8691588785045,44,107,41.1214953271028,21.0,15.0,34.0
MANDI042,Erode Mandi,Fatehabad,Haryana,23126.38,100,6238.0,3495.2842508872754,3402.242718446602,46,103,44.66019417475729,22.0,53.0,50.0
MANDI023,Panihati APMC,KARNAL,Haryana,23052.06,86,5409.0,3736.6448790262734,3638.8349514563106,32,103,31.06796116504854,23.0,38.0,2.0
MANDI043,Danapur Mandi,Agra,Uttar Pradesh,22991.58,89,5844.0,3612.3711393360595,3552.8541666666665,42,96,43.75,24.0,50.0,46.0
MANDI034,Ludhiana Grain Market,Ambala,Haryana,22501.57,81,5590.0,3843.574700503203,3708.8645833333335,36,96,37.5,25.0,24.0,14.0
MANDI039,Anand Grain Market,,Haryana,22499.03,89,5636.0,3907.9839038931245,3791.3238095238094,39,105,37.142857142857146,26.0,18.0,13.0
MANDI007,Nashik Mandi,Amritsar,Punjab,22412.29,89,5732.0,3957.167777830155,3855.09009009009,47,111,42.34234234234234,27.0,13.0,40.0
MANDI013,Aurangabad Market,Patiala,Punjab,22286.26,79,5888.0,3317.019251689704,3265.3333333333335,35,90,38.88888888888889,28.0,57.0,20.0
MANDI018,Jaunpur Mandi,MOGA,Punjab,22275.34,87,5312.0,3636.4721372603617,3551.808988764045,37,89,41.57303370786517,29.0,48.0,36.0
MANDI041,Gurgaon Grain Market,FATEHABAD,Haryana,21833.81,92,6516.0,4023.3432985157233,3950.890756302521,48,119,40.33613445378151,30.0,6.0,28.0
MANDI052,Kakinada APMC,Saharanpur,Uttar Pradesh,21636.239999999998,89,5411.0,3833.3723777345695,3759.782608695652,47,115,40.869565217391305,31.0,28.0,32.0
MANDI027,Kochi APMC,Hisar,Haryana,21607.02,83,5657.0,3746.9775008244965,3684.5943396226417,47,106,44.339622641509436,32.0,37.0,49.0
MANDI050,Durg Market,Muzaffarnagar,Uttar Pradesh,21573.4,78,5587.0,3781.3726237726487,3727.534090909091,36,88,40.909090909090914,33.0,31.0,33.0
MANDI036,Mysore Grain Market,KURUKSHETRA,Haryana,21570.52,85,5852.0,4057.5485004274756,3947.413223140496,42,121,34.710743801652896,34.0,2.0,7.0
MANDI049,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,21519.24,92,5810.0,3982.1861644446158,3871.5,45,114,39.473684210526315,35.0,10.0,24.0
MANDI019,Karimnagar Grain Market,Moga,Punjab,21365.98,88,6438.0,3750.0024290902215,3638.4827586206898,40,87,45.97701149425287,36.0,36.0,51.0
MANDI048,Chittoor Mandi,muzaffarnagar,Uttar Pradesh,21364.08,85,5270.0,3914.271443926874,3827.198113207547,40,106,37.735849056603776,37.0,17.0,16.0
MANDI030,Patiala APMC,Sirsa,,21317.29,81,4968.0,3882.888214127849,3775.3839285714284,41,112,36.607142857142854,38.0,22.0,10.0
MANDI025,Dindigul APMC,karnal,Haryana,21245.24,85,5543.0,3834.232460826338,3728.1634615384614,42,104,40.38461538461539,39.0,27.0,29.0
MANDI017,Parbhani Market,,Punjab,21156.41,86,6015.0,4013.029660862099,3925.978723404255,36,94,38.297872340425535,40.0,8.0,19.0
MANDI006,Kochi Mandi,Amritsar,Punjab,21130.16,83,5344.0,3400.1373973759796,3303.851063829787,37,94,39.361702127659576,41.0,55.0,22.0
MANDI047,Orai Market,Muzaffarnagar,Uttar Pradesh,20987.24,86,6319.0,3802.0174409746282,3778.4021739130435,44,92,47.82608695652174,42.0,29.0,53.0
MANDI046,Baranagar Market,,Uttar Pradesh,20545.22,74,5084.0,3751.020994419493,3677.423076923077,50,104,48.07692307692308,43.0,35.0,55.0
MANDI001,Hyderabad Mandi,ludhiana,Punjab,20330.99,85,6207.0,3458.4371726047884,3397.6494845360826,42,97,43.29896907216495,44.0,54.0,43.0
MANDI016,Kulti APMC,Bathinda,Punjab,20250.81,80,4967.0,3995.7079225770585,3863.688888888889,33,90,36.666666666666664,45.0,9.0,11.0
MANDI040,Jodhpur Market,Fatehabad,Haryana,20133.18,83,4690.0,3529.540181110366,3445.6666666666665,38,96,39.58333333333333,46.0,52.0,25.0
MANDI038,Jalandhar Mandi,Kurukshetra,Haryana,19996.35,71,4444.0,3904.087220238153,3828.8349514563106,45,103,43.689320388349515,47.0,19.0,45.0
MANDI055,Chandigarh APMC,Bareilly,Uttar Pradesh,19759.53,81,5671.0,3703.5654108105746,3654.7087378640776,48,103,46.601941747572816,48.0,43.0,52.0
MANDI020,Kadapa Mandi,Ferozepur,Punjab,19593.55,76,4679.0,4015.1290639322665,3892.3783783783783,45,111,40.54054054054054,49.0,7.0,30.0
MANDI021,Guna Mandi,Ferozepur,Punjab,19495.739999999998,77,5567.0,3834.750557984547,3775.6739130434785,34,92,36.95652173913043,50.0,26.0,12.0
MANDI003,Vijayawada Mandi,Ludhiana,Punjab,19432.19,78,4766.0,3767.4763325647623,3699.8314606741574,38,89,42.69662921348314,51.0,33.0,41.0
MANDI031,Nangloi Jat Mandi,Sirsa,Haryana,19159.31,76,5036.0,4200.58632878957,4123.407766990291,43,103,41.74757281553398,52.0,1.0,38.0
MANDI045,Farrukhabad Mandi,Meerut,Uttar Pradesh,18912.86,78,4559.0,3651.7991969521704,3599.621052631579,41,95,43.15789473684211,53.0,46.0,42.0
MANDI004,Khandwa Grain Market,Ludhiana,Punjab,18505.07,79,5685.0,3788.530197852638,3730.7604166666665,46,96,47.91666666666667,54.0,30.0,54.0
MANDI014,Bathinda Grain Market,Patiala,Punjab,18358.99,75,4749.0,3969.997651155338,3948.183673469388,49,98,50.0,55.0,11.0,57.0
MANDI005,Bhilwara Grain Market,Amritsar,Punjab,18122.31,74,5041.0,3946.8205006317585,3872.362831858407,47,113,41.5929203539823,56.0,14.0,37.0
MANDI053,Panihati Market,Saharanpur,Uttar Pradesh,15918.039999999999,62,3787.0,3727.096478387848,3636.073684210526,30,95,31.57894736842105,57.0,40.0,3.0
