raw_mandi_id,canonical_mandi_id,mapping_method,mapping_status
M031,MANDI031,regex_digit_extraction,normalized
M032,MANDI032,regex_digit_extraction,normalized
M033,MANDI033,regex_digit_extraction,normalized
M034,MANDI034,regex_digit_extraction,normalized
M035,MANDI035,regex_digit_extraction,normalized
M036,MANDI036,regex_digit_extraction,normalized
M037,MANDI037,regex_digit_extraction,normalized
M038,MANDI038,regex_digit_extraction,normalized
M039,MANDI039,regex_digit_extraction,normalized
M040,MANDI040,regex_digit_extraction,normalized
M041,MANDI041,regex_digit_extraction,normalized
M042,MANDI042,regex_digit_extraction,normalized
M043,MANDI043,regex_digit_extraction,normalized
M044,MANDI044,regex_digit_extraction,normalized
M045,MANDI045,regex_digit_extraction,normalized
M046,MANDI046,regex_digit_extraction,normalized
M047,MANDI047,regex_digit_extraction,normalized
M048,MANDI048,regex_digit_extraction,normalized
M049,MANDI049,regex_digit_extraction,normalized
M050,MANDI050,regex_digit_extraction,normalized
M051,MANDI051,regex_digit_extraction,normalized
M052,MANDI052,regex_digit_extraction,normalized
M053,MANDI053,regex_digit_extraction,normalized
M054,MANDI054,regex_digit_extraction,normalized
M055,MANDI055,regex_digit_extraction,normalized
M056,MANDI056,regex_digit_extraction,normalized
M057,MANDI057,regex_digit_extraction,normalized
MANDI-001,MANDI001,regex_digit_extraction,normalized
MANDI-002,MANDI002,regex_digit_extraction,normalized
MANDI-003,MANDI003,regex_digit_extraction,normalized
MANDI-004,MANDI004,regex_digit_extraction,normalized
MANDI-005,MANDI005,regex_digit_extraction,normalized
MANDI-006,MANDI006,regex_digit_extraction,normalized
MANDI-007,MANDI007,regex_digit_extraction,normalized
MANDI-008,MANDI008,regex_digit_extraction,normalized
MANDI-009,MANDI009,regex_digit_extraction,normalized
MANDI-010,MANDI010,regex_digit_extraction,normalized
MANDI-011,MANDI011,regex_digit_extraction,normalized
MANDI-012,MANDI012,regex_digit_extraction,normalized
MANDI-013,MANDI013,regex_digit_extraction,normalized
MANDI-014,MANDI014,regex_digit_extraction,normalized
MANDI-015,MANDI015,regex_digit_extraction,normalized
MANDI-016,MANDI016,regex_digit_extraction,normalized
MANDI-017,MANDI017,regex_digit_extraction,normalized
MANDI-018,MANDI018,regex_digit_extraction,normalized
MANDI-019,MANDI019,regex_digit_extraction,normalized
MANDI-020,MANDI020,regex_digit_extraction,normalized
MANDI-021,MANDI021,regex_digit_extraction,normalized
MANDI-022,MANDI022,regex_digit_extraction,normalized
MANDI-023,MANDI023,regex_digit_extraction,normalized
MANDI-024,MANDI024,regex_digit_extraction,normalized
MANDI-025,MANDI025,regex_digit_extraction,normalized
MANDI-026,MANDI026,regex_digit_extraction,normalized
MANDI-027,MANDI027,regex_digit_extraction,normalized
MANDI-028,MANDI028,regex_digit_extraction,normalized
MANDI-029,MANDI029,regex_digit_extraction,normalized
MANDI-030,MANDI030,regex_digit_extraction,normalized
MANDI-031,MANDI031,regex_digit_extraction,normalized
MANDI-032,MANDI032,regex_digit_extraction,normalized
MANDI-033,MANDI033,regex_digit_extraction,normalized
MANDI-034,MANDI034,regex_digit_extraction,normalized
MANDI-035,MANDI035,regex_digit_extraction,normalized
MANDI-036,MANDI036,regex_digit_extraction,normalized
MANDI-037,MANDI037,regex_digit_extraction,normalized
MANDI-038,MANDI038,regex_digit_extraction,normalized
MANDI-039,MANDI039,regex_digit_extraction,normalized
MANDI-040,MANDI040,regex_digit_extraction,normalized
MANDI-041,MANDI041,regex_digit_extraction,normalized
MANDI-042,MANDI042,regex_digit_extraction,normalized
MANDI-043,MANDI043,regex_digit_extraction,normalized
MANDI-044,MANDI044,regex_digit_extraction,normalized
MANDI-045,MANDI045,regex_digit_extraction,normalized
MANDI-046,MANDI046,regex_digit_extraction,normalized
MANDI-047,MANDI047,regex_digit_extraction,normalized
MANDI-048,MANDI048,regex_digit_extraction,normalized
MANDI-049,MANDI049,regex_digit_extraction,normalized
MANDI-050,MANDI050,regex_digit_extraction,normalized
MANDI-051,MANDI051,regex_digit_extraction,normalized
MANDI-052,MANDI052,regex_digit_extraction,normalized
MANDI-053,MANDI053,regex_digit_extraction,normalized
MANDI-054,MANDI054,regex_digit_extraction,normalized
MANDI-055,MANDI055,regex_digit_extraction,normalized
MANDI-056,MANDI056,regex_digit_extraction,normalized
MANDI-057,MANDI057,regex_digit_extraction,normalized
MANDI001,MANDI001,regex_digit_extraction,normalized
MANDI002,MANDI002,regex_digit_extraction,normalized
MANDI003,MANDI003,regex_digit_extraction,normalized
MANDI004,MANDI004,regex_digit_extraction,normalized
MANDI005,MANDI005,regex_digit_extraction,normalized
MANDI006,MANDI006,regex_digit_extraction,normalized
MANDI007,MANDI007,regex_digit_extraction,normalized
MANDI008,MANDI008,regex_digit_extraction,normalized
MANDI009,MANDI009,regex_digit_extraction,normalized
MANDI010,MANDI010,regex_digit_extraction,normalized
MANDI011,MANDI011,regex_digit_extraction,normalized
MANDI012,MANDI012,regex_digit_extraction,normalized
MANDI013,MANDI013,regex_digit_extraction,normalized
MANDI014,MANDI014,regex_digit_extraction,normalized
MANDI015,MANDI015,regex_digit_extraction,normalized
MANDI016,MANDI016,regex_digit_extraction,normalized
MANDI017,MANDI017,regex_digit_extraction,normalized
MANDI018,MANDI018,regex_digit_extraction,normalized
MANDI019,MANDI019,regex_digit_extraction,normalized
MANDI020,MANDI020,regex_digit_extraction,normalized
MANDI021,MANDI021,regex_digit_extraction,normalized
MANDI022,MANDI022,regex_digit_extraction,normalized
MANDI023,MANDI023,regex_digit_extraction,normalized
MANDI024,MANDI024,regex_digit_extraction,normalized
MANDI025,MANDI025,regex_digit_extraction,normalized
MANDI026,MANDI026,regex_digit_extraction,normalized
MANDI027,MANDI027,regex_digit_extraction,normalized
MANDI028,MANDI028,regex_digit_extraction,normalized
MANDI029,MANDI029,regex_digit_extraction,normalized
MANDI030,MANDI030,regex_digit_extraction,normalized
MANDI031,MANDI031,regex_digit_extraction,normalized
MANDI032,MANDI032,regex_digit_extraction,normalized
MANDI033,MANDI033,regex_digit_extraction,normalized
MANDI034,MANDI034,regex_digit_extraction,normalized
MANDI035,MANDI035,regex_digit_extraction,normalized
MANDI036,MANDI036,regex_digit_extraction,normalized
MANDI037,MANDI037,regex_digit_extraction,normalized
MANDI038,MANDI038,regex_digit_extraction,normalized
MANDI039,MANDI039,regex_digit_extraction,normalized
MANDI040,MANDI040,regex_digit_extraction,normalized
MANDI041,MANDI041,regex_digit_extraction,normalized
MANDI042,MANDI042,regex_digit_extraction,normalized
MANDI043,MANDI043,regex_digit_extraction,normalized
MANDI044,MANDI044,regex_digit_extraction,normalized
MANDI045,MANDI045,regex_digit_extraction,normalized
MANDI046,MANDI046,regex_digit_extraction,normalized
MANDI047,MANDI047,regex_digit_extraction,normalized
MANDI048,MANDI048,regex_digit_extraction,normalized
MANDI049,MANDI049,regex_digit_extraction,normalized
MANDI050,MANDI050,regex_digit_extraction,normalized
MANDI051,MANDI051,regex_digit_extraction,normalized
MANDI052,MANDI052,regex_digit_extraction,normalized
MANDI053,MANDI053,regex_digit_extraction,normalized
MANDI054,MANDI054,regex_digit_extraction,normalized
MANDI055,MANDI055,regex_digit_extraction,normalized
MANDI056,MANDI056,regex_digit_extraction,normalized
MANDI057,MANDI057,regex_digit_extraction,normalized
mandi001,MANDI001,regex_digit_extraction,normalized
mandi002,MANDI002,regex_digit_extraction,normalized
mandi003,MANDI003,regex_digit_extraction,normalized
mandi004,MANDI004,regex_digit_extraction,normalized
mandi005,MANDI005,regex_digit_extraction,normalized
mandi006,MANDI006,regex_digit_extraction,normalized
mandi007,MANDI007,regex_digit_extraction,normalized
mandi008,MANDI008,regex_digit_extraction,normalized
mandi009,MANDI009,regex_digit_extraction,normalized
mandi010,MANDI010,regex_digit_extraction,normalized
mandi011,MANDI011,regex_digit_extraction,normalized
mandi012,MANDI012,regex_digit_extraction,normalized
mandi013,MANDI013,regex_digit_extraction,normalized
mandi014,MANDI014,regex_digit_extraction,normalized
mandi015,MANDI015,regex_digit_extraction,normalized
mandi016,MANDI016,regex_digit_extraction,normalized
mandi017,MANDI017,regex_digit_extraction,normalized
mandi018,MANDI018,regex_digit_extraction,normalized
mandi019,MANDI019,regex_digit_extraction,normalized
mandi020,MANDI020,regex_digit_extraction,normalized
mandi021,MANDI021,regex_digit_extraction,normalized
mandi022,MANDI022,regex_digit_extraction,normalized
mandi023,MANDI023,regex_digit_extraction,normalized
mandi024,MANDI024,regex_digit_extraction,normalized
mandi025,MANDI025,regex_digit_extraction,normalized
mandi026,MANDI026,regex_digit_extraction,normalized
mandi027,MANDI027,regex_digit_extraction,normalized
mandi028,MANDI028,regex_digit_extraction,normalized
mandi029,MANDI029,regex_digit_extraction,normalized
mandi030,MANDI030,regex_digit_extraction,normalized
mandi031,MANDI031,regex_digit_extraction,normalized
mandi032,MANDI032,regex_digit_extraction,normalized
mandi033,MANDI033,regex_digit_extraction,normalized
mandi034,MANDI034,regex_digit_extraction,normalized
mandi035,MANDI035,regex_digit_extraction,normalized
mandi036,MANDI036,regex_digit_extraction,normalized
mandi037,MANDI037,regex_digit_extraction,normalized
mandi038,MANDI038,regex_digit_extraction,normalized
mandi039,MANDI039,regex_digit_extraction,normalized
mandi040,MANDI040,regex_digit_extraction,normalized
mandi041,MANDI041,regex_digit_extraction,normalized
mandi042,MANDI042,regex_digit_extraction,normalized
mandi043,MANDI043,regex_digit_extraction,normalized
mandi044,MANDI044,regex_digit_extraction,normalized
mandi045,MANDI045,regex_digit_extraction,normalized
mandi046,MANDI046,regex_digit_extraction,normalized
mandi047,MANDI047,regex_digit_extraction,normalized
mandi048,MANDI048,regex_digit_extraction,normalized
mandi049,MANDI049,regex_digit_extraction,normalized
mandi050,MANDI050,regex_digit_extraction,normalized
mandi051,MANDI051,regex_digit_extraction,normalized
mandi052,MANDI052,regex_digit_extraction,normalized
mandi053,MANDI053,regex_digit_extraction,normalized
mandi054,MANDI054,regex_digit_extraction,normalized
mandi055,MANDI055,regex_digit_extraction,normalized
mandi056,MANDI056,regex_digit_extraction,normalized
mandi057,MANDI057,regex_digit_extraction,normalized
mandi_001,MANDI001,regex_digit_extraction,normalized
mandi_002,MANDI002,regex_digit_extraction,normalized
mandi_003,MANDI003,regex_digit_extraction,normalized
mandi_004,MANDI004,regex_digit_extraction,normalized
mandi_005,MANDI005,regex_digit_extraction,normalized
mandi_006,MANDI006,regex_digit_extraction,normalized
mandi_007,MANDI007,regex_digit_extraction,normalized
mandi_008,MANDI008,regex_digit_extraction,normalized
mandi_009,MANDI009,regex_digit_extraction,normalized
mandi_010,MANDI010,regex_digit_extraction,normalized
mandi_011,MANDI011,regex_digit_extraction,normalized
mandi_012,MANDI012,regex_digit_extraction,normalized
mandi_013,MANDI013,regex_digit_extraction,normalized
mandi_014,MANDI014,regex_digit_extraction,normalized
mandi_015,MANDI015,regex_digit_extraction,normalized
mandi_016,MANDI016,regex_digit_extraction,normalized
mandi_017,MANDI017,regex_digit_extraction,normalized
mandi_018,MANDI018,regex_digit_extraction,normalized
mandi_019,MANDI019,regex_digit_extraction,normalized
mandi_020,MANDI020,regex_digit_extraction,normalized
mandi_021,MANDI021,regex_digit_extraction,normalized
mandi_022,MANDI022,regex_digit_extraction,normalized
mandi_023,MANDI023,regex_digit_extraction,normalized
mandi_024,MANDI024,regex_digit_extraction,normalized
mandi_025,MANDI025,regex_digit_extraction,normalized
mandi_026,MANDI026,regex_digit_extraction,normalized
mandi_027,MANDI027,regex_digit_extraction,normalized
mandi_028,MANDI028,regex_digit_extraction,normalized
mandi_029,MANDI029,regex_digit_extraction,normalized
mandi_030,MANDI030,regex_digit_extraction,normalized
mandi_031,MANDI031,regex_digit_extraction,normalized
mandi_032,MANDI032,regex_digit_extraction,normalized
mandi_033,MANDI033,regex_digit_extraction,normalized
mandi_034,MANDI034,regex_digit_extraction,normalized
mandi_035,MANDI035,regex_digit_extraction,normalized
mandi_036,MANDI036,regex_digit_extraction,normalized
mandi_037,MANDI037,regex_digit_extraction,normalized
mandi_038,MANDI038,regex_digit_extraction,normalized
mandi_039,MANDI039,regex_digit_extraction,normalized
mandi_040,MANDI040,regex_digit_extraction,normalized
mandi_041,MANDI041,regex_digit_extraction,normalized
mandi_042,MANDI042,regex_digit_extraction,normalized
mandi_043,MANDI043,regex_digit_extraction,normalized
mandi_044,MANDI044,regex_digit_extraction,normalized
mandi_045,MANDI045,regex_digit_extraction,normalized
mandi_046,MANDI046,regex_digit_extraction,normalized
mandi_047,MANDI047,regex_digit_extraction,normalized
mandi_048,MANDI048,regex_digit_extraction,normalized
mandi_049,MANDI049,regex_digit_extraction,normalized
mandi_050,MANDI050,regex_digit_extraction,normalized
mandi_051,MANDI051,regex_digit_extraction,normalized
mandi_052,MANDI052,regex_digit_extraction,normalized
mandi_053,MANDI053,regex_digit_extraction,normalized
mandi_054,MANDI054,regex_digit_extraction,normalized
mandi_055,MANDI055,regex_digit_extraction,normalized
mandi_056,MANDI056,regex_digit_extraction,normalized
mandi_057,MANDI057,regex_digit_extraction,normalized
