arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,source_file,row_index_raw,mandi_id_raw,mandi_id_status,crop_name_raw,arrival_quantity_raw,quantity_quintals,unit_extracted,unit_status,negative_quantity_flag,unit_conflict_flag,unit_unresolvable,missing_variety,missing_farmer_count,surrogate_id,is_duplicate
ARR0010546,2026/01/09,MANDI039,Wheat,,41.577,MT,139.0,track3_mandi_arrivals.csv,17,MANDI039,normalized,Kanak,41.577,415.77,MT,resolved_separate,0,0,0,1,0,0,0
ARR0002154,03-20-2026,MANDI001,REQUIRES_INVESTIGATION,HD-2967,39646.0,kg,61.0,track3_mandi_arrivals.csv,18,MANDI-001,normalized,Basmati,39646.0,396.46000000000004,kg,resolved_separate,0,0,0,0,0,0,0
ARR0020380,06-03-2026,MANDI028,Mustard,Pusa-1121,99.87,Quintals,,track3_mandi_arrivals.csv,19,MANDI028,normalized,mustard,99.87,99.87,Quintals,resolved_separate,0,0,0,0,1,0,0
ARR0021641,15-Aug-2026,MANDI045,Mustard,HD-2967,39119.0,KGS,41.0,track3_mandi_arrivals.csv,20,mandi_045,normalized,Sarso,39119.0,391.19,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0004098,25-Mar-2026,MANDI027,Cotton,Pusa-1121,111.01,Qtl,137.0,track3_mandi_arrivals.csv,21,MANDI-027,normalized,cotton,111.01,111.01,Qtl,resolved_separate,0,0,0,0,0,0,0
SURROGATE_ARR_000000,18.06.2026,MANDI026,REQUIRES_INVESTIGATION,Pusa-1121,264.38,Qtl,96.0,track3_mandi_arrivals.csv,22,MANDI026,normalized,मक्का,264.38,264.38,Qtl,resolved_separate,0,0,0,0,0,1,0
ARR0006088,12-Aug-2026,MANDI019,Sugarcane,HD-2967,373.93,Quintals,121.0,track3_mandi_arrivals.csv,23,MANDI019,normalized,Ganne,373.93,373.93,Quintals,resolved_separate,0,0,0,0,0,0,0
ARR0021143,30.04.2026,MANDI024,Mustard,Premium,7048.999999999999,Kgs,7.0,track3_mandi_arrivals.csv,24,MANDI024,normalized,सरसों,7048.999999999999,70.49,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0019959,21/08/2026,MANDI022,Corn,PBW-343,38.343,Tonnes,85.0,track3_mandi_arrivals.csv,25,MANDI022,normalized,Makka,38.343,383.43000000000006,Tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0001442,2026/05/31,MANDI044,Paddy,Local,113.89,Qtl,97.0,track3_mandi_arrivals.csv,26,MANDI044,normalized,paddy,113.89,113.89,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0004480,08.04.2026,MANDI045,Wheat,Local,15910.0,kg,102.0,track3_mandi_arrivals.csv,27,M045,normalized,Wheat,15910.0,159.1,kg,resolved_separate,0,0,0,0,0,0,0
ARR0021197,28-Aug-2026,MANDI021,Sugarcane,Hybrid,197.48,qtl,,track3_mandi_arrivals.csv,28,021,normalized,sugarcane,197.48,197.48,qtl,resolved_separate,0,0,0,0,1,0,0
ARR0020628,12-Jun-2026,MANDI012,Sugarcane,PBW-343,35053.0,Kilo,71.0,track3_mandi_arrivals.csv,29,MANDI-012,normalized,sugarcane,35053.0,350.53000000000003,Kilo,resolved_separate,0,0,0,0,0,0,0
ARR0001665,30.07.2026,MANDI055,REQUIRES_INVESTIGATION,Local,406.67,Quintals,,track3_mandi_arrivals.csv,30,MANDI055,normalized,Chawal,406.67,406.67,Quintals,resolved_separate,0,0,0,0,1,0,0
ARR0002938,04-Jul-2026,MANDI016,Wheat,,162.36,qtl,114.0,track3_mandi_arrivals.csv,31,mandi_016,normalized,GEHUN,162.36,162.36,qtl,resolved_separate,0,0,0,1,0,0,0
ARR0019350,25/03/2026,MANDI001,Wheat,Premium,19.073,MT,,track3_mandi_arrivals.csv,32,mandi_001,normalized,गेहूं,19.073,190.73000000000002,MT,resolved_separate,0,0,0,0,1,0,0
ARR0020205,2026-07-05,MANDI037,Corn,Hybrid,7347.0,Kgs,17.0,track3_mandi_arrivals.csv,33,MANDI037,normalized,Makka,7347.0,73.47,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0015292,2026/07/15,MANDI037,Wheat,PBW-343,"36,654.0 KG",,53.0,track3_mandi_arrivals.csv,34,MANDI037,normalized,wheat,"36,654.0 KG",366.54,kg,resolved,0,0,0,0,0,0,0
ARR0019616,10/04/2026,MANDI008,Corn,Hybrid,82.61,qtl,,track3_mandi_arrivals.csv,35,MANDI008,normalized,Corn,82.61,82.61,qtl,resolved_separate,0,0,0,0,1,0,0
ARR0022884,12.05.2026,MANDI047,REQUIRES_INVESTIGATION,,194.32,Quintals,33.0,track3_mandi_arrivals.csv,36,MANDI047,normalized,मक्का,194.32,194.32,Quintals,resolved_separate,0,0,0,1,0,0,0
ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,38.055,MT,6.0,track3_mandi_arrivals.csv,37,M051,normalized,सरसों,38.055,380.55,MT,resolved_separate,0,0,0,0,0,0,0
ARR0003266,24-Apr-2026,MANDI023,REQUIRES_INVESTIGATION,,97.11,qtl,17.0,track3_mandi_arrivals.csv,38,MANDI-023,normalized,Ganna,97.11,97.11,qtl,resolved_separate,0,0,0,1,0,0,0
ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,15999.0,Kilo,125.0,track3_mandi_arrivals.csv,39,MANDI017,normalized,Sarso,15999.0,159.99,Kilo,resolved_separate,0,0,0,0,0,0,0
ARR0017190,01/08/2026,MANDI002,Cotton,PBW-343,"22,697.0 KG",,73.0,track3_mandi_arrivals.csv,40,mandi_002,normalized,cotton,"22,697.0 KG",226.97,kg,resolved,0,0,0,0,0,0,0
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KGS,54.0,track3_mandi_arrivals.csv,41,MANDI016,normalized,Cotton,7845.0,78.45,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0013641,18/03/2026,MANDI018,Mustard,Premium,342.39,Qtl,143.0,track3_mandi_arrivals.csv,42,MANDI-018,normalized,Sarso,342.39,342.39,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0019876,2026/07/12,MANDI054,REQUIRES_INVESTIGATION,,32227.0,Kgs,127.0,track3_mandi_arrivals.csv,43,MANDI054,normalized,Basmati,32227.0,322.27,Kgs,resolved_separate,0,0,0,1,0,0,0
ARR0018787,08-08-2026,MANDI044,Paddy,Pusa-1121,336.73 qtl,,69.0,track3_mandi_arrivals.csv,44,mandi_044,normalized,paddy,336.73 qtl,336.73,qtl,resolved,0,0,0,0,0,0,0
ARR0020778,08.03.2026,MANDI024,Mustard,HD-2967,12790.0,Kilo,113.0,track3_mandi_arrivals.csv,45,MANDI024,normalized,mustard,12790.0,127.9,Kilo,resolved_separate,0,0,0,0,0,0,0
ARR0002765,2026-02-28,MANDI013,REQUIRES_INVESTIGATION,Premium,361.74,Q,62.0,track3_mandi_arrivals.csv,46,mandi013,normalized,Sarson,361.74,361.74,Q,resolved_separate,0,0,0,0,0,0,0
ARR0014145,2026-01-31,MANDI006,REQUIRES_INVESTIGATION,Pusa-1121,469.92,qtl,18.0,track3_mandi_arrivals.csv,47,MANDI006,normalized,Ganna,469.92,469.92,qtl,resolved_separate,0,0,0,0,0,0,0
ARR0023854,06/05/2026,MANDI007,Sugarcane,,-177.05,KG,46.0,track3_mandi_arrivals.csv,48,MANDI007,normalized,sugarcane,-177.05,,-177.05,negative,1,0,0,1,0,0,0
ARR0012859,2026/03/20,MANDI057,Cotton,PBW-343,34.129000000000005,T,,track3_mandi_arrivals.csv,49,057,normalized,Cotton,34.129000000000005,341.2900000000001,T,resolved_separate,0,0,0,0,1,0,0
ARR0023766,2026-02-02,MANDI025,REQUIRES_INVESTIGATION,HD-2967,17588.0,Kgs,88.0,track3_mandi_arrivals.csv,50,mandi_025,normalized,धान,17588.0,175.88,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0009572,10.05.2026,MANDI041,Corn,Premium,17.603,T,38.0,track3_mandi_arrivals.csv,51,MANDI-041,normalized,Makka,17.603,176.03000000000003,T,resolved_separate,0,0,0,0,0,0,0
ARR0021131,2026-04-24,MANDI040,Corn,Hybrid,309.07 qtl,,146.0,track3_mandi_arrivals.csv,52,MANDI040,normalized,corn,309.07 qtl,309.07,qtl,resolved,0,0,0,0,0,0,0
ARR0022207,2026-03-25,MANDI027,REQUIRES_INVESTIGATION,HD-2967,47236.0,Kgs,11.0,track3_mandi_arrivals.csv,53,mandi027,normalized,Basmati,47236.0,472.36,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0005385,2026/08/07,MANDI028,Cotton,Hybrid,12.677,tonnes,5.0,track3_mandi_arrivals.csv,54,MANDI028,normalized,कपास,12.677,126.77,tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,28.492,Tonnes,99.0,track3_mandi_arrivals.csv,55,MANDI026,normalized,Gehun,28.492,284.92,Tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0015213,27.02.2026,MANDI005,Paddy,PBW-343,54.32,qtl,122.0,track3_mandi_arrivals.csv,56,mandi005,normalized,Paddy,54.32,54.32,qtl,resolved_separate,0,0,0,0,0,0,0
SURROGATE_ARR_000001,2026/02/04,MANDI031,Corn,Local,431.25 qtl,,60.0,track3_mandi_arrivals.csv,57,mandi_031,normalized,corn,431.25 qtl,431.25,qtl,resolved,0,0,0,0,0,1,0
ARR0010273,2026-03-06,MANDI021,Mustard,,200.26,Qtl,11.0,track3_mandi_arrivals.csv,58,mandi021,normalized,Sarso,200.26,200.26,Qtl,resolved_separate,0,0,0,1,0,0,0
ARR0023476,2026/06/05,MANDI023,REQUIRES_INVESTIGATION,PBW-343,312.23,Qtl,18.0,track3_mandi_arrivals.csv,59,MANDI023,normalized,Sarson,312.23,312.23,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0013815,06-08-2026,MANDI009,Corn,HD-2967,27041.000000000004,Kilo,83.0,track3_mandi_arrivals.csv,60,MANDI009,normalized,Makka,27041.000000000004,270.41,Kilo,resolved_separate,0,0,0,0,0,0,0
ARR0023287,2026/02/08,MANDI003,Cotton,PBW-343,4.441,MT,127.0,track3_mandi_arrivals.csv,61,MANDI-003,normalized,Narma,4.441,44.41,MT,resolved_separate,0,0,0,0,0,0,0
ARR0016192,2026-07-03,MANDI023,Corn,,455.6,quintal,59.0,track3_mandi_arrivals.csv,62,MANDI023,normalized,Corn,455.6,455.6,quintal,resolved_separate,0,0,0,1,0,0,0
ARR0011823,2026/01/13,MANDI004,REQUIRES_INVESTIGATION,HD-2967,60.33,qtl,124.0,track3_mandi_arrivals.csv,63,MANDI004,normalized,Chawal,60.33,60.33,qtl,resolved_separate,0,0,0,0,0,0,0
ARR0005816,24/01/2026,MANDI039,Sugarcane,PBW-343,158.3,quintal,135.0,track3_mandi_arrivals.csv,64,mandi_039,normalized,Sugarcane,158.3,158.3,quintal,resolved_separate,0,0,0,0,0,0,0
ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,"43,655.0 KG",,128.0,track3_mandi_arrivals.csv,65,mandi033,normalized,Cotton,"43,655.0 KG",436.55,kg,resolved,0,0,0,0,0,0,0
ARR0010009,2026-03-10,MANDI004,Paddy,,29139.999999999996,kg,,track3_mandi_arrivals.csv,66,MANDI004,normalized,paddy,29139.999999999996,291.4,kg,resolved_separate,0,0,0,1,1,0,0
ARR0022129,2026/02/10,MANDI040,Sugarcane,Local,45813.0,KGS,131.0,track3_mandi_arrivals.csv,67,MANDI040,normalized,गन्ना,45813.0,458.13,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0015481,09/06/2026,MANDI028,Corn,Premium,"7,278.0 KG",,68.0,track3_mandi_arrivals.csv,68,mandi_028,normalized,Corn,"7,278.0 KG",72.78,kg,resolved,0,0,0,0,0,0,0
ARR0020630,16/08/2026,MANDI028,REQUIRES_INVESTIGATION,Local,32583.0,kg,36.0,track3_mandi_arrivals.csv,69,mandi_028,normalized,चावल,32583.0,325.83,kg,resolved_separate,0,0,0,0,0,0,0
ARR0005888,2026/07/03,MANDI049,Corn,,182.46,quintal,,track3_mandi_arrivals.csv,70,M049,normalized,Corn,182.46,182.46,quintal,resolved_separate,0,0,0,1,1,0,0
ARR0006650,06.09.2026,MANDI043,Paddy,Local,18275.0,KG,128.0,track3_mandi_arrivals.csv,71,MANDI043,normalized,Rice,18275.0,182.75,KG,resolved_separate,0,0,0,0,0,0,0
ARR0002363,09/03/2026,MANDI026,Corn,Pusa-1121,23947.0,KGS,29.0,track3_mandi_arrivals.csv,72,MANDI026,normalized,corn,23947.0,239.47,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0010446,08-05-2026,MANDI026,Corn,Pusa-1121,17.899,tonnes,21.0,track3_mandi_arrivals.csv,73,mandi_026,normalized,Makki,17.899,178.99,tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0009069,05-15-2026,MANDI022,Cotton,Pusa-1121,5918.0,Kilo,76.0,track3_mandi_arrivals.csv,74,mandi022,normalized,Narma,5918.0,59.18,Kilo,resolved_separate,0,0,0,0,0,0,0
ARR0020854,18-Jun-2026,MANDI035,Sugarcane,Pusa-1121,158.72,Q,,track3_mandi_arrivals.csv,75,MANDI035,normalized,Sugarcane,158.72,158.72,Q,resolved_separate,0,0,0,0,1,0,0
ARR0023442,2026-05-20,MANDI056,Cotton,,25827.999999999996,KGS,73.0,track3_mandi_arrivals.csv,76,056,normalized,Cotton,25827.999999999996,258.28,KGS,resolved_separate,0,0,0,1,0,0,0
ARR0011135,20-Jun-2026,MANDI035,Paddy,Premium,37.528,T,138.0,track3_mandi_arrivals.csv,77,MANDI035,normalized,paddy,37.528,375.28,T,resolved_separate,0,0,0,0,0,0,0
ARR0000197,05-20-2026,MANDI001,Cotton,HD-2967,76.9 qtl,,118.0,track3_mandi_arrivals.csv,78,MANDI-001,normalized,Narma,76.9 qtl,76.9,qtl,resolved,0,0,0,0,0,0,0
SURROGATE_ARR_000002,08-May-2026,MANDI002,Corn,HD-2967,28557.0,Kgs,46.0,track3_mandi_arrivals.csv,79,MANDI002,normalized,Makka,28557.0,285.57,Kgs,resolved_separate,0,0,0,0,0,1,0
ARR0001203,04-04-2026,MANDI045,Cotton,PBW-343,2683.0,KGS,12.0,track3_mandi_arrivals.csv,80,MANDI045,normalized,कपास,2683.0,26.830000000000002,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0009407,2026/04/05,MANDI051,Mustard,Local,108.06,Quintals,78.0,track3_mandi_arrivals.csv,81,mandi_051,normalized,Mustard,108.06,108.06,Quintals,resolved_separate,0,0,0,0,0,0,0
ARR0013714,31-Mar-2026,MANDI038,Cotton,Premium,37.288,Tonnes,41.0,track3_mandi_arrivals.csv,82,mandi_038,normalized,cotton,37.288,372.88,Tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,Q,11.0,track3_mandi_arrivals.csv,83,043,normalized,Narma,354.98,354.98,Q,resolved_separate,0,0,0,0,0,0,0
ARR0006770,2026/06/25,MANDI015,Wheat,Hybrid,141.83,Quintals,134.0,track3_mandi_arrivals.csv,84,MANDI015,normalized,Gehun,141.83,141.83,Quintals,resolved_separate,0,0,0,0,0,0,0
ARR0019634,2026-03-25,MANDI013,Cotton,,18.137,tonnes,45.0,track3_mandi_arrivals.csv,85,MANDI013,normalized,कपास,18.137,181.37,tonnes,resolved_separate,0,0,0,1,0,0,0
ARR0012525,06-25-2026,MANDI043,Corn,Premium,334.11,Q,119.0,track3_mandi_arrivals.csv,86,mandi_043,normalized,Makka,334.11,334.11,Q,resolved_separate,0,0,0,0,0,0,0
ARR0016292,2026/02/05,MANDI049,Corn,Pusa-1121,41458.0,kg,36.0,track3_mandi_arrivals.csv,87,MANDI-049,normalized,Makki,41458.0,414.58,kg,resolved_separate,0,0,0,0,0,0,0
ARR0019272,05/03/2026,MANDI030,Sugarcane,Local,"39,083.0 KG",,104.0,track3_mandi_arrivals.csv,88,MANDI030,normalized,Sugarcane,"39,083.0 KG",390.83,kg,resolved,0,0,0,0,0,0,0
ARR0004049,2026-04-13,MANDI003,REQUIRES_INVESTIGATION,Pusa-1121,21412.0,KG,56.0,track3_mandi_arrivals.csv,89,MANDI003,normalized,Dhaan,21412.0,214.12,KG,resolved_separate,0,0,0,0,0,0,0
ARR0002716,2026/07/17,MANDI057,Sugarcane,Hybrid,41389.0,Kgs,106.0,track3_mandi_arrivals.csv,90,mandi_057,normalized,Sugarcane,41389.0,413.89,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0014184,12.02.2026,MANDI037,Mustard,PBW-343,"35,649.0 KG",,,track3_mandi_arrivals.csv,91,MANDI037,normalized,Mustard,"35,649.0 KG",356.49,kg,resolved,0,0,0,0,1,0,0
ARR0008333,2026/01/15,MANDI054,Wheat,,-357.18,KG,133.0,track3_mandi_arrivals.csv,92,mandi_054,normalized,Wheat,-357.18,,-357.18,negative,1,0,0,1,0,0,0
ARR0000429,08-25-2026,MANDI039,Cotton,Hybrid,12.656,MT,76.0,track3_mandi_arrivals.csv,93,mandi_039,normalized,Cotton,12.656,126.56,MT,resolved_separate,0,0,0,0,0,0,0
ARR0024925,04-Aug-2026,MANDI024,Wheat,,18344.0,KG,83.0,track3_mandi_arrivals.csv,94,M024,normalized,wheat,18344.0,183.44,KG,resolved_separate,0,0,0,1,0,0,0
ARR0019727,30-Apr-2026,MANDI034,Cotton,PBW-343,40381.0,KGS,81.0,track3_mandi_arrivals.csv,95,MANDI034,normalized,कपास,40381.0,403.81,KGS,resolved_separate,0,0,0,0,0,0,0
ARR0002477,03-28-2026,MANDI020,REQUIRES_INVESTIGATION,Local,31.139,tonnes,150.0,track3_mandi_arrivals.csv,96,020,normalized,Chawal,31.139,311.39,tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0000342,17.06.2026,MANDI033,Cotton,Premium,191.48,Q,30.0,track3_mandi_arrivals.csv,97,MANDI-033,normalized,Narma,191.48,191.48,Q,resolved_separate,0,0,0,0,0,0,0
ARR0023820,07-25-2026,MANDI029,Mustard,Local,27200.0,KGS,,track3_mandi_arrivals.csv,98,M029,normalized,Mustard,27200.0,272.0,KGS,resolved_separate,0,0,0,0,1,0,0
ARR0010204,21.07.2026,MANDI006,Paddy,,2584.0,Kgs,102.0,track3_mandi_arrivals.csv,99,mandi006,normalized,Paddy,2584.0,25.84,Kgs,resolved_separate,0,0,0,1,0,0,0
ARR0000398,25/03/2026,MANDI029,Corn,PBW-343,20.63 qtl,,44.0,track3_mandi_arrivals.csv,100,MANDI-029,normalized,Makki,20.63 qtl,20.63,qtl,resolved,0,0,0,0,0,0,0
ARR0020708,2026/06/01,MANDI054,Cotton,Hybrid,41.019999999999996,MT,60.0,track3_mandi_arrivals.csv,101,M054,normalized,Narma,41.019999999999996,410.19999999999993,MT,resolved_separate,0,0,0,0,0,0,0
ARR0020105,02-19-2026,MANDI028,Mustard,Pusa-1121,48.563,Tonnes,60.0,track3_mandi_arrivals.csv,102,MANDI028,normalized,Sarso,48.563,485.63,Tonnes,resolved_separate,0,0,0,0,0,0,0
ARR0019842,30/03/2026,MANDI056,Sugarcane,Pusa-1121,2948.0,Kgs,112.0,track3_mandi_arrivals.csv,103,M056,normalized,sugarcane,2948.0,29.48,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0014214,21/02/2026,MANDI031,Sugarcane,Hybrid,478.99 qtl,,123.0,track3_mandi_arrivals.csv,104,mandi031,normalized,Ganne,478.99 qtl,478.99,qtl,resolved,0,0,0,0,0,0,0
ARR0017781,24-May-2026,MANDI031,Sugarcane,PBW-343,46065.0,kg,46.0,track3_mandi_arrivals.csv,105,031,normalized,Ganne,46065.0,460.65000000000003,kg,resolved_separate,0,0,0,0,0,0,0
ARR0009910,28.04.2026,MANDI041,Cotton,Pusa-1121,372.43,Q,42.0,track3_mandi_arrivals.csv,106,mandi_041,normalized,cotton,372.43,372.43,Q,resolved_separate,0,0,0,0,0,0,0
ARR0008506,03.02.2026,MANDI024,REQUIRES_INVESTIGATION,Hybrid,74.11,Qtl,96.0,track3_mandi_arrivals.csv,107,MANDI024,normalized,Chawal,74.11,74.11,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0023886,2026-07-12,MANDI011,Corn,Local,15663.999999999998,KG,14.0,track3_mandi_arrivals.csv,108,MANDI-011,normalized,Makka,15663.999999999998,156.64,KG,resolved_separate,0,0,0,0,0,0,0
ARR0006149,27/04/2026,MANDI041,Cotton,Pusa-1121,4638.0,kg,103.0,track3_mandi_arrivals.csv,109,mandi_041,normalized,Narma,4638.0,46.38,kg,resolved_separate,0,0,0,0,0,0,0
ARR0023964,20-Jul-2026,MANDI008,REQUIRES_INVESTIGATION,,81.67,qtl,,track3_mandi_arrivals.csv,110,mandi_008,normalized,धान,81.67,81.67,qtl,resolved_separate,0,0,0,1,1,0,0
ARR0003143,08-24-2026,MANDI034,Paddy,HD-2967,401.5 qtl,,113.0,track3_mandi_arrivals.csv,111,034,normalized,Rice,401.5 qtl,401.5,qtl,resolved,0,0,0,0,0,0,0
ARR0002588,06-05-2026,MANDI040,Mustard,,4.489,MT,137.0,track3_mandi_arrivals.csv,112,MANDI040,normalized,सरसों,4.489,44.89,MT,resolved_separate,0,0,0,1,0,0,0
ARR0002948,18.02.2026,MANDI019,Wheat,,"12,646.0 KG",,146.0,track3_mandi_arrivals.csv,113,MANDI019,normalized,GEHUN,"12,646.0 KG",126.46000000000001,kg,resolved,0,0,0,1,0,0,0
ARR0015103,22.02.2026,MANDI050,Cotton,Pusa-1121,24245.0,Kgs,73.0,track3_mandi_arrivals.csv,114,MANDI050,normalized,Cotton,24245.0,242.45000000000002,Kgs,resolved_separate,0,0,0,0,0,0,0
ARR0011288,04/01/2026,MANDI043,Cotton,Pusa-1121,27258.999999999996,kg,43.0,track3_mandi_arrivals.csv,115,MANDI043,normalized,कपास,27258.999999999996,272.59,kg,resolved_separate,0,0,0,0,0,0,0
ARR0009656,04-01-2026,MANDI018,Sugarcane,HD-2967,"7,537.0 KG",,,track3_mandi_arrivals.csv,116,mandi_018,normalized,गन्ना,"7,537.0 KG",75.37,kg,resolved,0,0,0,0,1,0,0
ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,"41,341.0 KG",,134.0,track3_mandi_arrivals.csv,117,mandi_017,normalized,Narma,"41,341.0 KG",413.41,kg,resolved,0,0,0,0,0,0,0
ARR0013711,29.03.2026,MANDI028,Sugarcane,Hybrid,47.79,Q,15.0,track3_mandi_arrivals.csv,118,MANDI028,normalized,sugarcane,47.79,47.79,Q,resolved_separate,0,0,0,0,0,0,0
ARR0009578,2026-04-12,MANDI016,Corn,Pusa-1121,309.79,Qtl,20.0,track3_mandi_arrivals.csv,119,MANDI016,normalized,corn,309.79,309.79,Qtl,resolved_separate,0,0,0,0,0,0,0
ARR0005981,05/04/2026,MANDI004,Paddy,Premium,22842.0,kg,145.0,track3_mandi_arrivals.csv,120,mandi_004,normalized,Rice,22842.0,228.42000000000002,kg,resolved_separate,0,0,0,0,0,0,0
ARR0023291,11/02/2026,MANDI020,Wheat,Premium,80.86,Q,89.0,track3_mandi_arrivals.csv,121,MANDI020,normalized,गेहूं,80.86,80.86,Q,resolved_separate,0,0,0,0,0,0,0
ARR0009654,13/03/2026,MANDI030,Sugarcane,,"24,318.0 KG",,31.0,track3_mandi_arrivals.csv,122,MANDI030,normalized,sugarcane,"24,318.0 KG",243.18,kg,resolved,0,0,0,1,0,0,0
ARR0012458,08-May-2026,MANDI039,Mustard,Pusa-1121,276.83,Quintals,24.0,track3_mandi_arrivals.csv,123,mandi_039,normalized,Mustard,276.83,276.83,Quintals,resolved_separate,0,0,0,0,0,0,0
