record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,source_file,row_index_raw,mandi_id_raw,mandi_id_status,crop_name_raw,min_price_raw,min_price_status,max_price_raw,max_price_status,modal_price_raw,modal_price_status,msp_raw,msp_status,missing_mandi_id,missing_district
PR010862,2026/02/11,MANDI042,Ambala,Mustard,5493.827969524963,6761.44,6127.63,5650.0,track3_price_and_msp.json,36,mandi042,normalized,mustard,5493.827969524963,resolved,"6,761.44/-",resolved,"₹6,127.63",resolved,5650,resolved,0,0
PR011617,18.03.2026,MANDI053,Bathinda,Corn,2009.38,2235.4,2122.39,,track3_price_and_msp.json,37,MANDI-053,normalized,Makka,"2,009.38/-",resolved,"₹2,235.40",resolved,2122.39,resolved,,empty,0,0
PR001291,2026-08-03,MANDI046,Jalandhar,REQUIRES_INVESTIGATION,1867.54,2189.09,2028.32,,track3_price_and_msp.json,38,mandi_046,normalized,धान,"1,867.54/-",resolved,2189.09,resolved,"2,028.32/-",resolved,"Rs. 2,183",invalid_numeric,0,0
PR001377,2026-06-14,MANDI007,,REQUIRES_INVESTIGATION,1970.8,2447.0,2209.0,,track3_price_and_msp.json,39,MANDI007,normalized,Basmati,"₹1,970.80",resolved,"INR 2,447",resolved,"INR 2,209",resolved,,empty,0,0
PR003954,2026-03-31,MANDI017,Kurukshetra,REQUIRES_INVESTIGATION,1971.7,,2104.0,,track3_price_and_msp.json,40,MANDI017,normalized,Dhaan,1971.7,resolved,"Rs. 2,237",invalid_numeric,"INR 2,104",resolved,"Rs. 2,183",invalid_numeric,0,0
PR003093,20-May-2026,MANDI008,Ludhiana,REQUIRES_INVESTIGATION,1975.0,2358.74,2166.76,2183.0,track3_price_and_msp.json,41,M008,normalized,चावल,"INR 1,975",resolved,2358.74,resolved,"2,166.76/-",resolved,2183,resolved,0,0
PR000689,02.04.2026,MANDI054,,Wheat,2293.99,2786.0,,,track3_price_and_msp.json,42,MANDI054,normalized,GEHUN,2293.99,resolved,"INR 2,786",resolved,"Rs. 2,540",invalid_numeric,,empty,0,0
PR002359,09-Apr-2026,MANDI026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0,track3_price_and_msp.json,43,MANDI026,normalized,cotton,"INR 6,497",resolved,"₹7,003.03",resolved,6749.79,resolved,"INR 6,620",resolved,0,0
PR004233,29-Jan-2026,MANDI049,,Paddy,2082.58,,2270.31,2183.0,track3_price_and_msp.json,44,MANDI049,normalized,paddy,2082.58,resolved,,empty,2270.31,resolved,2183,resolved,0,0
PR009368,04-05-2026,MANDI014,Karnal,Cotton,6403.67,6871.07,6637.37,6620.0,track3_price_and_msp.json,45,mandi014,normalized,Narma,"₹6,403.67",resolved,"₹6,871.07",resolved,"₹6,637.37",resolved,6620,resolved,0,0
PR005203,29-Mar-2026,MANDI024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0,track3_price_and_msp.json,46,MANDI024,normalized,गेहूं,2124.53,resolved,"₹2,316.88",resolved,2220.7,resolved,"INR 2,275",resolved,0,0
PR006235,20-May-2026,MANDI006,Hisar,Cotton,,7062.16,6842.78,,track3_price_and_msp.json,47,MANDI-006,normalized,Cotton,,empty,"₹7,062.16",resolved,"₹6,842.78",resolved,,empty,0,0
PR011846,2026-09-05,MANDI031,Ambala,Wheat,2076.39,2414.63,2245.51,,track3_price_and_msp.json,48,MANDI-031,normalized,गेहूं,2076.39,resolved,2414.63,resolved,"2,245.51/-",resolved,,empty,0,0
PR001340,2026-01-16,MANDI007,Jalandhar,Paddy,,2122.46,1989.82,2183.0,track3_price_and_msp.json,49,MANDI007,normalized,Paddy,"Rs. 1,857",invalid_numeric,"2,122.46/-",resolved,1989.82,resolved,"INR 2,183",resolved,0,0
PR008186,01-25-2026,,Moga,Paddy,2005.68,2112.51,2059.1,,track3_price_and_msp.json,50,,missing,Rice,2005.68,resolved,"₹2,112.51",resolved,"₹2,059.10",resolved,,empty,1,0
PR007070,09.05.2026,MANDI022,,Paddy,2038.27,2509.7,2273.98,2183.0,track3_price_and_msp.json,51,M022,normalized,Rice,"2,038.27/-",resolved,"2,509.70/-",resolved,2273.98,resolved,2183,resolved,0,0
PR004775,02-23-2026,,Jalandhar,Wheat,2097.0,,2353.0,2275.0,track3_price_and_msp.json,52,,missing,Gehun,"INR 2,097",resolved,"Rs. 2,609",invalid_numeric,"INR 2,353",resolved,2275,resolved,1,0
PR006448,20.02.2026,MANDI035,Ludhiana,Corn,1881.78,2319.1,2100.44,,track3_price_and_msp.json,53,MANDI035,normalized,corn,1881.78,resolved,2319.1,resolved,"₹2,100.44",resolved,,empty,0,0
PR003034,29/01/2026,MANDI055,Amritsar,Wheat,2375.39,,2640.12,2275.0,track3_price_and_msp.json,54,MANDI055,normalized,Wheat,"2,375.39/-",resolved,"Rs. 2,905",invalid_numeric,"₹2,640.12",resolved,"INR 2,275",resolved,0,0
PR002947,13/05/2026,,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0,track3_price_and_msp.json,55,,missing,Cotton,"INR 6,131",resolved,7320.96,resolved,"₹6,725.89",resolved,"₹6,620.00",resolved,1,0
PR002729,02.03.2026,MANDI008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0,track3_price_and_msp.json,56,MANDI008,normalized,Mustard,"₹5,787.16",resolved,6077.88,resolved,5932.52,resolved,"₹5,650.00",resolved,0,0
PR007737,20-Feb-2026,MANDI012,Amritsar,Wheat,,2203.07,2083.63,2275.0,track3_price_and_msp.json,57,MANDI012,normalized,गेहूं,"Rs. 1,964",invalid_numeric,2203.07,resolved,2083.63,resolved,"2,275.00/-",resolved,0,0
PR005676,01-Jul-2026,MANDI007,Fatehabad,Corn,1976.82,,2197.94,2090.0,track3_price_and_msp.json,58,MANDI007,normalized,Corn,1976.82,resolved,"Rs. 2,419",invalid_numeric,"₹2,197.94",resolved,"2,090.00/-",resolved,0,0
PR007093,2026-01-31,MANDI051,,REQUIRES_INVESTIGATION,2285.36,2595.15,,2183.0,track3_price_and_msp.json,59,MANDI051,normalized,Basmati,"₹2,285.36",resolved,"₹2,595.15",resolved,,empty,"INR 2,183",resolved,0,1
PR008805,2026-03-11,MANDI046,Ludhiana,Mustard,4820.0,,5259.53,5650.0,track3_price_and_msp.json,60,M046,normalized,सरसों,"INR 4,820",resolved,"Rs. 5,699",invalid_numeric,"5,259.53/-",resolved,5650,resolved,0,0
PR005981,2026-07-23,MANDI013,Kurukshetra,Wheat,2341.23,,2429.19,2275.0,track3_price_and_msp.json,61,MANDI-013,normalized,wheat,"₹2,341.23",resolved,"Rs. 2,517",invalid_numeric,"₹2,429.19",resolved,"₹2,275.00",resolved,0,0
PR000060,14/05/2026,,Ferozepur,Mustard,5811.32,6329.19,6070.26,5650.0,track3_price_and_msp.json,62,,missing,mustard,"5,811.32/-",resolved,6329.19,resolved,"₹6,070.26",resolved,5650,resolved,1,0
PR001371,04/06/2026,MANDI030,Ferozepur,Cotton,,6087.83,,6620.0,track3_price_and_msp.json,63,MANDI030,normalized,cotton,"Rs. 5,660",invalid_numeric,6087.83,resolved,"Rs. 5,874",invalid_numeric,"₹6,620.00",resolved,0,0
PR003239,03.01.2026,,Karnal,REQUIRES_INVESTIGATION,1872.0,2174.23,2023.3017368627486,2183.0,track3_price_and_msp.json,64,,missing,चावल,"INR 1,872",resolved,2174.23,resolved,2023.3017368627486,resolved,"INR 2,183",resolved,1,0
PR002056,22.08.2026,MANDI009,Ferozepur,REQUIRES_INVESTIGATION,1908.1409099896425,2009.0,,,track3_price_and_msp.json,65,mandi_009,normalized,Basmati,1908.1409099896425,resolved,"INR 2,009",resolved,"Rs. 1,958",invalid_numeric,,empty,0,0
PR005252,05.01.2026,MANDI032,Jalandhar,Wheat,2151.86,2675.13,2413.49,,track3_price_and_msp.json,66,MANDI-032,normalized,Gehun,"₹2,151.86",resolved,"₹2,675.13",resolved,2413.49,resolved,,empty,0,0
PR009259,01-Jun-2026,MANDI055,,Sugarcane,3152.0,,3244.6003698960367,,track3_price_and_msp.json,67,M055,normalized,Ganne,"INR 3,152",resolved,"Rs. 3,337",invalid_numeric,3244.6003698960367,resolved,"Rs. 3,500",invalid_numeric,0,0
PR002760,02-15-2026,MANDI036,Karnal,Cotton,6302.29,7206.81,6754.55,6620.0,track3_price_and_msp.json,68,036,normalized,Narma,6302.29,resolved,7206.81,resolved,"₹6,754.55",resolved,"6,620.00/-",resolved,0,0
PR004003,25/08/2026,MANDI029,Kurukshetra,REQUIRES_INVESTIGATION,3083.37,,,,track3_price_and_msp.json,69,mandi_029,normalized,Ganna,"3,083.37/-",resolved,"Rs. 3,315",invalid_numeric,"Rs. 3,199",invalid_numeric,"Rs. 3,500",invalid_numeric,0,0
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,6311.65,6815.97,6563.81,,track3_price_and_msp.json,70,MANDI039,normalized,Cotton,"6,311.65/-",resolved,6815.97,resolved,"6,563.81/-",resolved,,empty,0,0
PR004575,28-Aug-2026,MANDI040,Ferozepur,REQUIRES_INVESTIGATION,2184.65,2619.32,2401.982891153114,2183.0,track3_price_and_msp.json,71,mandi040,normalized,चावल,"₹2,184.65",resolved,"₹2,619.32",resolved,2401.982891153114,resolved,2183,resolved,0,0
PR001751,19.07.2026,MANDI047,Ludhiana,Mustard,5637.61,,6334.03,,track3_price_and_msp.json,72,MANDI047,normalized,सरसों,"5,637.61/-",resolved,,empty,6334.03,resolved,,empty,0,0
PR001077,07-22-2026,,Kurukshetra,Mustard,5178.312104348875,,5757.03,5650.0,track3_price_and_msp.json,73,,missing,सरसों,5178.312104348875,resolved,,empty,5757.03,resolved,5650,resolved,1,0
PR005404,22/01/2026,MANDI034,Sirsa,REQUIRES_INVESTIGATION,1786.3365949009074,1926.15,1856.24,2090.0,track3_price_and_msp.json,74,M034,normalized,मक्का,1786.3365949009074,resolved,"1,926.15/-",resolved,1856.24,resolved,"₹2,090.00",resolved,0,0
PR006339,25.04.2026,MANDI051,Karnal,Cotton,6696.62,7530.0,7113.15,6620.0,track3_price_and_msp.json,75,MANDI051,normalized,Narma,"₹6,696.62",resolved,"INR 7,530",resolved,"₹7,113.15",resolved,6620,resolved,0,0
PR009691,2026/05/11,MANDI010,Fatehabad,REQUIRES_INVESTIGATION,3201.15,3361.389536195206,3281.27,3500.0,track3_price_and_msp.json,76,MANDI010,normalized,Ganna,"₹3,201.15",resolved,3361.389536195206,resolved,3281.27,resolved,3500,resolved,0,0
PR010145,2026-02-02,MANDI013,Kurukshetra,Wheat,2069.22,2309.0,2188.9685772991033,2275.0,track3_price_and_msp.json,77,MANDI013,normalized,GEHUN,2069.22,resolved,"INR 2,309",resolved,2188.9685772991033,resolved,"INR 2,275",resolved,0,0
PR001300,2026-08-02,MANDI046,Patiala,Corn,1918.0,2158.02,2038.25,2090.0,track3_price_and_msp.json,78,mandi_046,normalized,corn,"INR 1,918",resolved,"₹2,158.02",resolved,2038.25,resolved,"INR 2,090",resolved,0,0
PR007631,2026/03/02,MANDI055,Bathinda,Wheat,2386.55,2953.19,2669.87,2275.0,track3_price_and_msp.json,79,MANDI055,normalized,Wheat,"₹2,386.55",resolved,"2,953.19/-",resolved,"2,669.87/-",resolved,2275,resolved,0,0
PR000891,17/07/2026,MANDI050,Amritsar,REQUIRES_INVESTIGATION,3360.97,3721.24,3541.11,,track3_price_and_msp.json,80,mandi050,normalized,Ganna,3360.97,resolved,"₹3,721.24",resolved,3541.11,resolved,"Rs. 3,500",invalid_numeric,0,0
PR000564,05.01.2026,MANDI039,Hisar,Sugarcane,3448.28,4181.0,3814.67,3500.0,track3_price_and_msp.json,81,mandi039,normalized,Sugarcane,3448.28,resolved,"INR 4,181",resolved,"3,814.67/-",resolved,3500,resolved,0,0
PR000602,2026-05-29,MANDI009,Ambala,REQUIRES_INVESTIGATION,1924.0,2048.1,1986.0,,track3_price_and_msp.json,82,mandi_009,normalized,Dhaan,"INR 1,924",resolved,"₹2,048.10",resolved,"INR 1,986",resolved,"Rs. 2,183",invalid_numeric,0,0
PR010104,2026-06-29,MANDI040,Karnal,Wheat,2287.5,2466.13,2376.82,2275.0,track3_price_and_msp.json,83,M040,normalized,WHEAT,2287.5,resolved,2466.13,resolved,"2,376.82/-",resolved,"INR 2,275",resolved,0,0
PR000234,03-06-2026,MANDI046,Sirsa,Sugarcane,3421.0,,3573.51,3500.0,track3_price_and_msp.json,84,M046,normalized,Ganne,"INR 3,421",resolved,"Rs. 3,726",invalid_numeric,3573.51,resolved,3500,resolved,0,0
PR005480,20/07/2026,MANDI050,Moga,Mustard,5592.07,6362.979993983251,5977.53,5650.0,track3_price_and_msp.json,85,MANDI050,normalized,Mustard,"5,592.07/-",resolved,6362.979993983251,resolved,"₹5,977.53",resolved,5650,resolved,0,0
PR010827,2026-06-25,MANDI005,Fatehabad,Sugarcane,3119.64,3645.1,3382.37,3500.0,track3_price_and_msp.json,86,MANDI005,normalized,sugarcane,3119.64,resolved,3645.1,resolved,"₹3,382.37",resolved,3500,resolved,0,0
PR000661,26/07/2026,MANDI029,Fatehabad,Paddy,,2666.93,2401.0,2183.0,track3_price_and_msp.json,87,MANDI-029,normalized,Paddy,,empty,2666.93,resolved,"INR 2,401",resolved,"2,183.00/-",resolved,0,0
PR002565,07-May-2026,MANDI043,Ludhiana,Corn,,2198.0,2022.0,2090.0,track3_price_and_msp.json,88,MANDI043,normalized,Makki,,empty,"INR 2,198",resolved,"INR 2,022",resolved,"INR 2,090",resolved,0,0
PR004659,01-23-2026,MANDI010,Sirsa,Corn,1944.04,2211.0,2077.0,2090.0,track3_price_and_msp.json,89,MANDI010,normalized,Makka,"₹1,944.04",resolved,"INR 2,211",resolved,"INR 2,077",resolved,"INR 2,090",resolved,0,0
PR008402,16/06/2026,MANDI027,Fatehabad,REQUIRES_INVESTIGATION,1845.0,2143.52,1994.33,,track3_price_and_msp.json,90,MANDI027,normalized,मक्का,"INR 1,845",resolved,2143.52,resolved,"₹1,994.33",resolved,,empty,0,0
PR007197,04-May-2026,MANDI033,Ambala,Sugarcane,3653.020121077713,4059.89,,3500.0,track3_price_and_msp.json,91,mandi033,normalized,गन्ना,3653.020121077713,resolved,4059.89,resolved,"Rs. 3,856",invalid_numeric,3500,resolved,0,0
PR000500,04-02-2026,MANDI035,Moga,REQUIRES_INVESTIGATION,2181.045527366979,2399.84,2290.0,,track3_price_and_msp.json,92,mandi035,normalized,चावल,2181.045527366979,resolved,2399.84,resolved,"INR 2,290",resolved,"Rs. 2,183",invalid_numeric,0,0
PR002708,17.08.2026,MANDI053,Sirsa,Cotton,6858.04,7844.4388757834595,7351.24,,track3_price_and_msp.json,93,M053,normalized,कपास,6858.04,resolved,7844.4388757834595,resolved,"₹7,351.24",resolved,"Rs. 6,620",invalid_numeric,0,0
PR008975,05/04/2026,MANDI046,Karnal,Wheat,2350.0,2685.0,2517.0,2275.0,track3_price_and_msp.json,94,MANDI-046,normalized,Wheat,"INR 2,350",resolved,"INR 2,685",resolved,"INR 2,517",resolved,2275,resolved,0,0
PR007085,11/03/2026,MANDI039,Ambala,Mustard,5727.0,,5959.0,5650.0,track3_price_and_msp.json,95,MANDI039,normalized,Sarso,"INR 5,727",resolved,"Rs. 6,192",invalid_numeric,"INR 5,959",resolved,"₹5,650.00",resolved,0,0
PR003234,08-31-2026,MANDI010,Hisar,REQUIRES_INVESTIGATION,,6188.0,,5650.0,track3_price_and_msp.json,96,MANDI010,normalized,Sarson,"Rs. 5,344",invalid_numeric,"INR 6,188",resolved,"Rs. 5,766",invalid_numeric,"INR 5,650",resolved,0,0
PR010364,29-Jun-2026,MANDI014,Fatehabad,REQUIRES_INVESTIGATION,1936.0,2035.72,,2183.0,track3_price_and_msp.json,97,MANDI014,normalized,Chawal,"INR 1,936",resolved,2035.72,resolved,,empty,2183,resolved,0,0
PR003552,18.05.2026,,Karnal,Corn,1791.21,1980.88,1886.04,,track3_price_and_msp.json,98,,missing,corn,"₹1,791.21",resolved,"₹1,980.88",resolved,1886.04,resolved,,empty,1,0
PR003156,28/07/2026,MANDI052,Bathinda,Corn,2067.21,,2224.78,2090.0,track3_price_and_msp.json,99,MANDI052,normalized,Makki,2067.21,resolved,"Rs. 2,382",invalid_numeric,"₹2,224.78",resolved,"2,090.00/-",resolved,0,0
PR001607,18.06.2026,,Patiala,Mustard,5565.0,6412.727054232409,,,track3_price_and_msp.json,100,,missing,mustard,"INR 5,565",resolved,6412.727054232409,resolved,"Rs. 5,989",invalid_numeric,,empty,1,0
PR002564,2026-04-06,MANDI010,Ambala,Corn,2121.78,,2354.0,2090.0,track3_price_and_msp.json,101,MANDI010,normalized,corn,2121.78,resolved,"Rs. 2,587",invalid_numeric,"INR 2,354",resolved,"INR 2,090",resolved,0,0
PR001680,09/02/2026,MANDI038,Bathinda,Paddy,2063.33,,2225.08,2183.0,track3_price_and_msp.json,102,MANDI-038,normalized,paddy,"2,063.33/-",resolved,"Rs. 2,387",invalid_numeric,"₹2,225.08",resolved,2183,resolved,0,0
PR004686,2026-04-30,MANDI051,,REQUIRES_INVESTIGATION,5523.1,6271.94,,,track3_price_and_msp.json,103,mandi_051,normalized,Sarson,5523.1,resolved,"6,271.94/-",resolved,"Rs. 5,898",invalid_numeric,,empty,0,1
PR010671,12/08/2026,MANDI036,Sirsa,Sugarcane,3521.0,3829.9,3675.0,3500.0,track3_price_and_msp.json,104,MANDI036,normalized,sugarcane,"INR 3,521",resolved,"3,829.90/-",resolved,"INR 3,675",resolved,"₹3,500.00",resolved,0,0
PR003180,03/02/2026,MANDI057,Patiala,Paddy,2102.2,2284.3,2193.25,2183.0,track3_price_and_msp.json,105,MANDI057,normalized,Rice,"₹2,102.20",resolved,"₹2,284.30",resolved,"₹2,193.25",resolved,"2,183.00/-",resolved,0,0
PR007921,13.06.2026,MANDI057,Patiala,Wheat,2274.0,2519.92,2397.03,2275.0,track3_price_and_msp.json,106,MANDI057,normalized,गेहूं,"INR 2,274",resolved,"₹2,519.92",resolved,2397.03,resolved,"2,275.00/-",resolved,0,0
PR009782,30/03/2026,MANDI045,,Mustard,4983.72,6078.7,5531.21,5650.0,track3_price_and_msp.json,107,mandi_045,normalized,Mustard,4983.72,resolved,"₹6,078.70",resolved,"5,531.21/-",resolved,"5,650.00/-",resolved,0,1
