sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,source_file,row_index_raw,temperature_raw,temp_unit_raw,temperature_celsius,temp_conversion_status,rainfall_raw,rain_unit_raw,rainfall_mm,rain_conversion_status,negative_rainfall_flag,missing_timestamp,missing_humidity
SEN036,2026-06-18 08:04:30 IST,65.7,Fahrenheit,3.7,MM,,track3_weather_sensors.xlsx,84,65.7,Fahrenheit,18.72222222222222,fahrenheit,3.7,MM,3.7,mm,0,0,1
SEN021,2026-02-05 00:04:04 IST,70.7,Fahrenheit,0.5,inch,93.0,track3_weather_sensors.xlsx,85,70.7,Fahrenheit,21.5,fahrenheit,0.5,inch,12.7,inches,0,0,0
SEN024,2026-03-18 13:40:34,21.4°C,,41.4,MM,69.0,track3_weather_sensors.xlsx,86,21.4°C,,21.4,embedded_celsius,41.4,MM,41.4,mm,0,0,0
SEN041,2026-01-11 08:58:24 UTC,30.5,°C,17.7,mm,92.0,track3_weather_sensors.xlsx,87,30.5,°C,30.5,celsius,17.7,mm,17.7,mm,0,0,0
SEN039,2026-06-18 08:28:41 UTC,18.7°C,,49.3,millimeters,94.0,track3_weather_sensors.xlsx,88,18.7°C,,18.7,embedded_celsius,49.3,millimeters,49.3,mm,0,0,0
SEN023,2026-05-06 04:21:38 IST,33.8,°C,-14.9,mm,68.0,track3_weather_sensors.xlsx,89,33.8,°C,33.8,celsius,-14.9,mm,,negative,1,0,0
SEN008,2026-03-14 02:04:35 UTC,16.8,c,,,74.0,track3_weather_sensors.xlsx,90,16.8,c,16.8,celsius,,,,missing_rain,0,0,0
SEN029,2026-02-04 22:55:57 IST,27.6°C,,0.8,in,,track3_weather_sensors.xlsx,91,27.6°C,,27.6,embedded_celsius,0.8,in,20.32,inches,0,0,1
SEN041,2026-07-11 16:46:05 UTC,16,c,-10.9,mm,86.0,track3_weather_sensors.xlsx,92,16,c,16.0,celsius,-10.9,mm,,negative,1,0,0
UNKNOWN,2026-01-10 16:49:33 IST,16.2,c,0.35,inch,39.0,track3_weather_sensors.xlsx,93,16.2,c,16.2,celsius,0.35,inch,8.889999999999999,inches,0,0,0
SEN007,2026-02-03 21:27:50 UTC,34.4,C,24.5,mm,65.0,track3_weather_sensors.xlsx,94,34.4,C,34.4,celsius,24.5,mm,24.5,mm,0,0,0
SEN033,2026-06-22 14:25:54 UTC,18.2°C,,0.78,inches,78.0,track3_weather_sensors.xlsx,95,18.2°C,,18.2,embedded_celsius,0.78,inches,19.812,inches,0,0,0
SEN039,2026-04-23 12:37:38 UTC,76.6,°F,-9.8,mm,87.0,track3_weather_sensors.xlsx,96,76.6,°F,24.777777777777775,fahrenheit,-9.8,mm,,negative,1,0,0
SEN038,2026-08-22 20:12:32 IST,103.1,Fahrenheit,0.75,in,56.0,track3_weather_sensors.xlsx,97,103.1,Fahrenheit,39.5,fahrenheit,0.75,in,19.049999999999997,inches,0,0,0
SEN048,02-25-2026 09:02 PM,82.6,f,,,80.0,track3_weather_sensors.xlsx,98,82.6,f,28.111111111111107,fahrenheit,,,,missing_rain,0,0,0
SEN020,2026-05-03 21:30:19 UTC,23,c,1.13,inch,38.0,track3_weather_sensors.xlsx,99,23,c,23.0,celsius,1.13,inch,28.701999999999995,inches,0,0,0
SEN011,02-26-2026 01:19 PM,39.5,Celsius,13.3,MM,,track3_weather_sensors.xlsx,100,39.5,Celsius,39.5,celsius,13.3,MM,13.3,mm,0,0,1
SEN024,2026-03-31 11:39:52 IST,85.8,Fahrenheit,0.73,inches,71.0,track3_weather_sensors.xlsx,101,85.8,Fahrenheit,29.88888888888889,fahrenheit,0.73,inches,18.541999999999998,inches,0,0,0
SEN014,2026-06-06 01:09:20 IST,89.8,F,32.7,mm,49.0,track3_weather_sensors.xlsx,102,89.8,F,32.111111111111114,fahrenheit,32.7,mm,32.7,mm,0,0,0
SEN009,2026-01-01 22:02:22 UTC,25.3,°C,0.5,inches,85.0,track3_weather_sensors.xlsx,103,25.3,°C,25.3,celsius,0.5,inches,12.7,inches,0,0,0
SEN008,2026-01-06 15:43:18,99.3,f,1.65,in,44.0,track3_weather_sensors.xlsx,104,99.3,f,37.388888888888886,fahrenheit,1.65,in,41.91,inches,0,0,0
SEN035,2026-03-22 23:24:11 IST,93.4,F,36.6,mm,54.0,track3_weather_sensors.xlsx,105,93.4,F,34.111111111111114,fahrenheit,36.6,mm,36.6,mm,0,0,0
SEN034,2026-07-06 04:54:07 IST,26.8,°C,25.0,millimeters,41.0,track3_weather_sensors.xlsx,106,26.8,°C,26.8,celsius,25.0,millimeters,25.0,mm,0,0,0
SEN035,2026-08-02 12:17:16 UTC,22.2,°C,28.1,millimeters,84.0,track3_weather_sensors.xlsx,107,22.2,°C,22.2,celsius,28.1,millimeters,28.1,mm,0,0,0
SEN030,13/01/2026 16:26,36.5,c,0.27,in,35.0,track3_weather_sensors.xlsx,108,36.5,c,36.5,celsius,0.27,in,6.858,inches,0,0,0
SEN035,,79.5,Fahrenheit,1.0,millimeters,62.0,track3_weather_sensors.xlsx,109,79.5,Fahrenheit,26.38888888888889,fahrenheit,1.0,millimeters,1.0,mm,0,1,0
SEN044,2026-05-18 16:25:14 IST,102.2,°F,-43.4,mm,78.0,track3_weather_sensors.xlsx,110,102.2,°F,39.0,fahrenheit,-43.4,mm,,negative,1,0,0
SEN035,2026-06-28 21:51:03,24.5°C,,41.2,millimeters,84.0,track3_weather_sensors.xlsx,111,24.5°C,,24.5,embedded_celsius,41.2,millimeters,41.2,mm,0,0,0
SEN008,2026-01-12T21:09:05,29.5,Celsius,18.9,mm,80.0,track3_weather_sensors.xlsx,112,29.5,Celsius,29.5,celsius,18.9,mm,18.9,mm,0,0,0
SEN007,2026-04-20 07:10:02 IST,16.9,c,26.9,mm,76.0,track3_weather_sensors.xlsx,113,16.9,c,16.9,celsius,26.9,mm,26.9,mm,0,0,0
SEN040,2026-02-19 22:18:36 IST,29.7,Celsius,0.64,inches,81.0,track3_weather_sensors.xlsx,114,29.7,Celsius,29.7,celsius,0.64,inches,16.256,inches,0,0,0
SEN047,2026-06-18 15:10:28 IST,78.1,F,-6.4,mm,92.0,track3_weather_sensors.xlsx,115,78.1,F,25.611111111111107,fahrenheit,-6.4,mm,,negative,1,0,0
SEN024,2026-04-23 12:43:57 IST,60.4,°F,37.1,MM,90.0,track3_weather_sensors.xlsx,116,60.4,°F,15.777777777777779,fahrenheit,37.1,MM,37.1,mm,0,0,0
SEN004,01/06/2026,32.2,c,-34.2,mm,69.0,track3_weather_sensors.xlsx,117,32.2,c,32.2,celsius,-34.2,mm,,negative,1,0,0
SEN016,,62.2,Fahrenheit,-5.0,mm,94.0,track3_weather_sensors.xlsx,118,62.2,Fahrenheit,16.77777777777778,fahrenheit,-5.0,mm,,negative,1,1,0
SEN003,2026-03-07 09:57:50 IST,82.2,F,,,66.0,track3_weather_sensors.xlsx,119,82.2,F,27.88888888888889,fahrenheit,,,,missing_rain,0,0,0
SEN032,2026-05-27 03:40:33 IST,38.8°C,,24.1,mm,89.0,track3_weather_sensors.xlsx,120,38.8°C,,38.8,embedded_celsius,24.1,mm,24.1,mm,0,0,0
SEN025,2026-02-06 13:59:20 UTC,95,f,1.72,in,73.0,track3_weather_sensors.xlsx,121,95,f,35.0,fahrenheit,1.72,in,43.687999999999995,inches,0,0,0
SEN011,2026-01-02 20:50:38 UTC,36.5,c,20.3,millimeters,,track3_weather_sensors.xlsx,122,36.5,c,36.5,celsius,20.3,millimeters,20.3,mm,0,0,1
SEN036,2026-03-21 15:41:00 IST,35.8°C,,45.4,millimeters,76.0,track3_weather_sensors.xlsx,123,35.8°C,,35.8,embedded_celsius,45.4,millimeters,45.4,mm,0,0,0
SEN041,2026-06-29 20:07:53 IST,68.9,Fahrenheit,-19.1,mm,31.0,track3_weather_sensors.xlsx,124,68.9,Fahrenheit,20.500000000000004,fahrenheit,-19.1,mm,,negative,1,0,0
SEN010,2026-04-20 03:32:35 IST,23.2,C,25.1,MM,93.0,track3_weather_sensors.xlsx,125,23.2,C,23.2,celsius,25.1,MM,25.1,mm,0,0,0
SEN019,2026-05-02 01:30:32 UTC,61.3,Fahrenheit,25.0,mm,94.0,track3_weather_sensors.xlsx,126,61.3,Fahrenheit,16.27777777777778,fahrenheit,25.0,mm,25.0,mm,0,0,0
SEN030,2026-01-01 23:41:26 IST,30.4,°C,23.8,mm,40.0,track3_weather_sensors.xlsx,127,30.4,°C,30.4,celsius,23.8,mm,23.8,mm,0,0,0
SEN033,2026-04-04 07:25:07 IST,69.8,f,6.2,millimeters,66.0,track3_weather_sensors.xlsx,128,69.8,f,21.0,fahrenheit,6.2,millimeters,6.2,mm,0,0,0
SEN013,2026-03-12 15:44:57 IST,20,Celsius,24.1,millimeters,49.0,track3_weather_sensors.xlsx,129,20,Celsius,20.0,celsius,24.1,millimeters,24.1,mm,0,0,0
SEN033,,74.8,F,-38.8,mm,33.0,track3_weather_sensors.xlsx,130,74.8,F,23.77777777777778,fahrenheit,-38.8,mm,,negative,1,1,0
UNKNOWN,2026-01-27 01:48:03 IST,71.6,°F,18.3,MM,50.0,track3_weather_sensors.xlsx,131,71.6,°F,21.999999999999996,fahrenheit,18.3,MM,18.3,mm,0,0,0
SEN025,2026-04-06 09:32:26 IST,70.9,°F,-46.7,mm,62.0,track3_weather_sensors.xlsx,132,70.9,°F,21.611111111111114,fahrenheit,-46.7,mm,,negative,1,0,0
SEN009,2026-08-13 13:12:36 UTC,20.7,c,47.7,MM,31.0,track3_weather_sensors.xlsx,133,20.7,c,20.7,celsius,47.7,MM,47.7,mm,0,0,0
SEN032,2026-07-31 17:42:53 IST,73.8,f,36.4,mm,45.0,track3_weather_sensors.xlsx,134,73.8,f,23.22222222222222,fahrenheit,36.4,mm,36.4,mm,0,0,0
SEN015,2026-04-23 03:20:55 UTC,31.5,C,3.5,MM,43.0,track3_weather_sensors.xlsx,135,31.5,C,31.5,celsius,3.5,MM,3.5,mm,0,0,0
SEN029,2026-01-27 07:59:34 IST,68.9,°F,,,76.0,track3_weather_sensors.xlsx,136,68.9,°F,20.500000000000004,fahrenheit,,,,missing_rain,0,0,0
SEN022,2026-03-24 23:08:20 UTC,37.3,°C,46.2,millimeters,89.0,track3_weather_sensors.xlsx,137,37.3,°C,37.3,celsius,46.2,millimeters,46.2,mm,0,0,0
SEN020,2026-03-27 22:06:40 UTC,19.9,°C,35.1,mm,,track3_weather_sensors.xlsx,138,19.9,°C,19.9,celsius,35.1,mm,35.1,mm,0,0,1
SEN041,2026-01-07 12:17:15 IST,84,F,1.44,inches,87.0,track3_weather_sensors.xlsx,139,84,F,28.88888888888889,fahrenheit,1.44,inches,36.57599999999999,inches,0,0,0
SEN023,,96.6,°F,0.04,inches,91.0,track3_weather_sensors.xlsx,140,96.6,°F,35.888888888888886,fahrenheit,0.04,inches,1.016,inches,0,1,0
SEN040,2026-02-11 09:38:31 IST,33.7,Celsius,49.7,MM,32.0,track3_weather_sensors.xlsx,141,33.7,Celsius,33.7,celsius,49.7,MM,49.7,mm,0,0,0
SEN001,2026-02-08 12:10:33 IST,82.4,F,0.6,inch,79.0,track3_weather_sensors.xlsx,142,82.4,F,28.000000000000004,fahrenheit,0.6,inch,15.239999999999998,inches,0,0,0
SEN034,2026-03-30 07:13:47 UTC,39.3°C,,-0.9,mm,69.0,track3_weather_sensors.xlsx,143,39.3°C,,39.3,embedded_celsius,-0.9,mm,,negative,1,0,0
SEN018,2026-03-25 23:05:38 UTC,100.4,°F,34.7,millimeters,89.0,track3_weather_sensors.xlsx,144,100.4,°F,38.0,fahrenheit,34.7,millimeters,34.7,mm,0,0,0
SEN019,2026-03-30 21:42:04 IST,63.5,f,1.3,inches,74.0,track3_weather_sensors.xlsx,145,63.5,f,17.5,fahrenheit,1.3,inches,33.019999999999996,inches,0,0,0
SEN036,2026-04-29 02:54:48 UTC,60.8,°F,-28.3,mm,59.0,track3_weather_sensors.xlsx,146,60.8,°F,16.0,fahrenheit,-28.3,mm,,negative,1,0,0
SEN014,2026-05-07 11:37:21,28.9,C,1.89,in,46.0,track3_weather_sensors.xlsx,147,28.9,C,28.9,celsius,1.89,in,48.00599999999999,inches,0,0,0
