trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,source_file,row_index_raw,mandi_id_raw,mandi_id_status,distance_raw,distance_km,distance_unit_extracted,distance_status,distance_unit_unresolvable,transit_hours_raw,negative_transit_flag,transit_hours_clean,vehicle_no_raw,vehicle_no_clean,missing_vehicle_no,missing_driver_id,missing_arrival_time,is_duplicate
TRP006460,MANDI011,WH-East,13-Jul-2026 10:12:45,2026-07-13 15:30:45,5.3,275.0,km,DL-48-CD-9566,DRV803,track3_transport_logistics.csv,12,MANDI011,normalized,275.0,275.0,,no_unit,0,5.3,0,5.3,DL-48-CD-9566,DL-48-CD-9566,0,0,0,0
TRP005643,MANDI009,WH-Central,2026-06-20T11:25:40,06-21-2026 12:31 AM,13.1,716.3,km,hr 45-AB-2105,DRV326,track3_transport_logistics.csv,13,mandi_009,normalized,716.3,716.3,,no_unit,0,13.1,0,13.1,hr 45-AB-2105,HR-45-AB-2105,0,0,0,0
TRP005033,MANDI048,WH-East,09/09/2026 14:19,10/09/2026,13.5,716.4,km,,DRV415,track3_transport_logistics.csv,14,mandi_048,normalized,716.4,716.4,,no_unit,0,13.5,0,13.5,,,1,0,0,0
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,27-Jun-2026 03:45:28,,1000.8,km,HR 67 CD 5973,DRV626,track3_transport_logistics.csv,15,MANDI017,normalized,1000.8,1000.8,,no_unit,0,,0,,HR 67 CD 5973,HR-67-CD-5973,0,0,0,0
TRP003149,MANDI033,WH-North,01-01-2026 11:16 AM,,7.7,316.5 KM,,PB-62-CD-5129,DRV342,track3_transport_logistics.csv,16,MANDI033,normalized,316.5 KM,316.5,KM,resolved,0,7.7,0,7.7,PB-62-CD-5129,PB-62-CD-5129,0,0,1,0
TRP009930,MANDI048,WH-South,09/02/2026 05:25,,,486.0,km,UP 40 DF 1180,DRV783,track3_transport_logistics.csv,17,mandi_048,normalized,486.0,486.0,,no_unit,0,,0,,UP 40 DF 1180,UP-40-DF-1180,0,0,1,0
TRP008787,MANDI022,WH-South,05-20-2026 08:31 PM,2026-05-21T01:13:44,4.7 hrs,244.3,km,hr 57-BC-1128,DRV403,track3_transport_logistics.csv,18,MANDI022,normalized,244.3,244.3,,no_unit,0,4.7 hrs,0,,hr 57-BC-1128,HR-57-BC-1128,0,0,0,0
TRP005653,MANDI032,WH-South,09/06/2026,10/06/2026,17.2,608.7571687000001,miles,HR-49-CD-3613,DRV654,track3_transport_logistics.csv,19,mandi_032,normalized,608.7571687000001,608.7571687000001,,no_unit,0,17.2,0,17.2,HR-49-CD-3613,HR-49-CD-3613,0,0,0,0
TRP008175,MANDI047,WH-North,01-12-2026 07:55 PM,13-Jan-2026 19:07:03,23.2,630.0080569,miles,HR-39-AB-7971,DRV497,track3_transport_logistics.csv,20,mandi_047,normalized,630.0080569,630.0080569,,no_unit,0,23.2,0,23.2,HR-39-AB-7971,HR-39-AB-7971,0,0,0,0
TRP005795,MANDI020,WH-South,2026-06-21T11:39:44,,23.6,1390.6,km,,DRV947,track3_transport_logistics.csv,21,MANDI020,normalized,1390.6,1390.6,,no_unit,0,23.6,0,23.6,,,1,0,1,0
TRP005283,MANDI039,WH-West,08/07/2026 22:27,09/07/2026,5.3 hrs,315.7,km,HR39-CD-5921,DRV622,track3_transport_logistics.csv,22,MANDI-039,normalized,315.7,315.7,,no_unit,0,5.3 hrs,0,,HR39-CD-5921,HR39-CD-5921,0,0,0,0
TRP004378,MANDI035,WH-East,20-Mar-2026 23:11:29,2026-03-21T05:11:29,6.0,207.60005110000003,miles,HR74-CD-9527,DRV270,track3_transport_logistics.csv,23,M035,normalized,207.60005110000003,207.60005110000003,,no_unit,0,6.0,0,6.0,HR74-CD-9527,HR74-CD-9527,0,0,0,0
TRP007392,MANDI025,WH-Central,14/05/2026,2026-05-15 03:54:19,,538.5,km,RJ-62-CD-6359,DRV958,track3_transport_logistics.csv,24,M025,normalized,538.5,538.5,,no_unit,0,,0,,RJ-62-CD-6359,RJ-62-CD-6359,0,0,0,0
TRP001559,MANDI041,WH-South,27/05/2026 20:11,2026-05-28 09:29:32,13.3,671.1,km,UP-60-CD-2446,DRV650,track3_transport_logistics.csv,25,mandi_041,normalized,671.1,671.1,,no_unit,0,13.3,0,13.3,UP-60-CD-2446,UP-60-CD-2446,0,0,0,0
TRP001433,MANDI029,WH-West,2026-06-21T01:20:44,21-Jun-2026 06:08:44,4.8,261.7,km,up 39-BC-3131,DRV765,track3_transport_logistics.csv,26,M029,normalized,261.7,261.7,,no_unit,0,4.8,0,4.8,up 39-BC-3131,UP-39-BC-3131,0,0,0,0
TRP000040,MANDI006,WH-South,24/01/2026 07:05,24-Jan-2026 22:23:42,,877.8,km,UP24-BC-3811,DRV670,track3_transport_logistics.csv,27,mandi006,normalized,877.8,877.8,,no_unit,0,,0,,UP24-BC-3811,UP24-BC-3811,0,0,0,0
TRP003996,MANDI008,WH-East,08-20-2026 08:06 PM,2026-08-21 09:48:28,13.7 hrs,715.6,km,HR93-DF-5165,,track3_transport_logistics.csv,28,MANDI008,normalized,715.6,715.6,,no_unit,0,13.7 hrs,0,,HR93-DF-5165,HR93-DF-5165,0,1,0,0
TRP007461,MANDI004,WH-West,08/06/2026,,21.1,995.7,km,PB 71 BC 6631,,track3_transport_logistics.csv,29,MANDI-004,normalized,995.7,995.7,,no_unit,0,21.1,0,21.1,PB 71 BC 6631,PB-71-BC-6631,0,1,1,0
TRP005973,MANDI048,Export-Terminal,19/06/2026 13:25,20-Jun-2026 02:49:57,13.4,399.8522385,miles,dl 70-CD-1378,DRV423,track3_transport_logistics.csv,30,MANDI048,normalized,399.8522385,399.8522385,,no_unit,0,13.4,0,13.4,dl 70-CD-1378,DL-70-CD-1378,0,0,0,0
TRP005174,MANDI054,WH-Central,05-18-2026 01:05 PM,05-19-2026 03:29 AM,,835.5,km,HR75-AB-3097,DRV499,track3_transport_logistics.csv,31,MANDI054,normalized,835.5,835.5,,no_unit,0,,0,,HR75-AB-3097,HR75-AB-3097,0,0,0,0
TRP000961,MANDI043,WH-North,07/01/2026 21:56,2026-01-08T18:02:05,20.1,723.3379811,miles,dl 61-BC-2591,DRV807,track3_transport_logistics.csv,32,MANDI043,normalized,723.3379811,723.3379811,,no_unit,0,20.1,0,20.1,dl 61-BC-2591,DL-61-BC-2591,0,0,0,0
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,10-Apr-2026 20:33:27,10.1,585.5,km,,DRV613,track3_transport_logistics.csv,33,MANDI009,normalized,585.5,585.5,,no_unit,0,10.1,0,10.1,,,1,0,0,0
TRP007465,MANDI044,Export-Terminal,2026-02-07T19:51:11,08/02/2026 13:39,17.8,519.0311963,miles,RJ45-AB-4860,DRV224,track3_transport_logistics.csv,34,mandi_044,normalized,519.0311963,519.0311963,,no_unit,0,17.8,0,17.8,RJ45-AB-4860,RJ45-AB-4860,0,0,0,0
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,km,dl 75-CD-5891,,track3_transport_logistics.csv,35,MANDI039,normalized,110.1,110.1,,no_unit,0,2.3,0,2.3,dl 75-CD-5891,DL-75-CD-5891,0,1,0,0
TRP008147,MANDI019,WH-North,28-May-2026 13:14:44,2026-05-29T05:32:44,16.3,551.0939399,miles,HR-30-BC-9997,DRV384,track3_transport_logistics.csv,36,MANDI019,normalized,551.0939399,551.0939399,,no_unit,0,16.3,0,16.3,HR-30-BC-9997,HR-30-BC-9997,0,0,0,0
TRP006177,MANDI036,WH-West,04/01/2026 18:01,2026-01-04 22:07:19,4.1,196.7 KM,,pb 73-AB-4041,DRV497,track3_transport_logistics.csv,37,mandi036,normalized,196.7 KM,196.7,KM,resolved,0,4.1,0,4.1,pb 73-AB-4041,PB-73-AB-4041,0,0,0,0
TRP007259,MANDI048,WH-North,11-Jul-2026 00:39:35,11-Jul-2026 12:51:35,12.2,620.1,km,DL-59-BC-5485,DRV350,track3_transport_logistics.csv,38,MANDI048,normalized,620.1,620.1,,no_unit,0,12.2,0,12.2,DL-59-BC-5485,DL-59-BC-5485,0,0,0,0
TRP000034,MANDI057,WH-West,2026-08-13T05:21:48,13-Aug-2026 14:15:48,8.9,437.5,km,DL-65-AB-3380,DRV761,track3_transport_logistics.csv,39,MANDI057,normalized,437.5,437.5,,no_unit,0,8.9,0,8.9,DL-65-AB-3380,DL-65-AB-3380,0,0,0,0
TRP001251,MANDI039,WH-West,06-22-2026 12:15 AM,06-22-2026 06:39 AM,6.4,257.7 KM,,hr 17-AB-1638,DRV299,track3_transport_logistics.csv,40,MANDI039,normalized,257.7 KM,257.7,KM,resolved,0,6.4,0,6.4,hr 17-AB-1638,HR-17-AB-1638,0,0,0,0
TRP003527,MANDI055,WH-North,02-17-2026 07:49 PM,,4.1,148.9426287,miles,PB-25-BC-1517,DRV630,track3_transport_logistics.csv,41,MANDI055,normalized,148.9426287,148.9426287,,no_unit,0,4.1,0,4.1,PB-25-BC-1517,PB-25-BC-1517,0,0,1,0
TRP008904,MANDI056,WH-North,05-02-2026 10:59 AM,2026-05-03 07:17:55,20.3,1115.4,km,PB 28 DF 8439,DRV544,track3_transport_logistics.csv,42,MANDI056,normalized,1115.4,1115.4,,no_unit,0,20.3,0,20.3,PB 28 DF 8439,PB-28-DF-8439,0,0,0,0
TRP001537,MANDI012,WH-West,09/05/2026 02:30,09/05/2026,15.1,835.3,km,RJ-10-AB-4277,,track3_transport_logistics.csv,43,mandi012,normalized,835.3,835.3,,no_unit,0,15.1,0,15.1,RJ-10-AB-4277,RJ-10-AB-4277,0,1,0,0
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,02-06-2026 01:25 PM,4.5,199.5,km,UP-83-AB-2103,DRV524,track3_transport_logistics.csv,44,mandi_021,normalized,199.5,199.5,,no_unit,0,4.5,0,4.5,UP-83-AB-2103,UP-83-AB-2103,0,0,0,0
TRP001122,MANDI011,WH-South,05-01-2026 10:46 PM,,16.9,819.7,km,RJ-78-BC-1965,DRV222,track3_transport_logistics.csv,45,MANDI011,normalized,819.7,819.7,,no_unit,0,16.9,0,16.9,RJ-78-BC-1965,RJ-78-BC-1965,0,0,1,0
TRP001218,MANDI052,Export-Terminal,24/06/2026 08:17,24-Jun-2026 14:11:31,5.9,271.6,km,RJ-41-DF-2783,DRV825,track3_transport_logistics.csv,46,052,normalized,271.6,271.6,,no_unit,0,5.9,0,5.9,RJ-41-DF-2783,RJ-41-DF-2783,0,0,0,0
TRP004111,MANDI032,WH-North,04/08/2026 21:07,05/08/2026 05:49,8.7,520.4,km,RJ87-CD-3403,DRV733,track3_transport_logistics.csv,47,mandi_032,normalized,520.4,520.4,,no_unit,0,8.7,0,8.7,RJ87-CD-3403,RJ87-CD-3403,0,0,0,0
TRP008942,MANDI021,Export-Terminal,2026-04-19T23:37:28,2026-04-20 16:19:28,16.7,850.8,km,PB-98-DF-3830,DRV786,track3_transport_logistics.csv,48,mandi_021,normalized,850.8,850.8,,no_unit,0,16.7,0,16.7,PB-98-DF-3830,PB-98-DF-3830,0,0,0,0
TRP000305,MANDI026,Export-Terminal,22/06/2026,,7.6,422.6,km,hr 20-CD-6378,DRV161,track3_transport_logistics.csv,49,MANDI026,normalized,422.6,422.6,,no_unit,0,7.6,0,7.6,hr 20-CD-6378,HR-20-CD-6378,0,0,1,0
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,km,,DRV190,track3_transport_logistics.csv,50,MANDI048,normalized,417.5,417.5,,no_unit,0,8.3,0,8.3,,,1,0,0,0
TRP007782,MANDI024,WH-South,03/08/2026,2026-08-03 14:39:21,8.8,313.4816695,miles,rj 72-AB-5979,DRV685,track3_transport_logistics.csv,51,MANDI024,normalized,313.4816695,313.4816695,,no_unit,0,8.8,0,8.8,rj 72-AB-5979,RJ-72-AB-5979,0,0,0,0
TRP002486,MANDI025,WH-Central,08-06-2026 03:13 AM,,9.5 hrs,503.0,km,HR 58 AB 7983,DRV608,track3_transport_logistics.csv,52,MANDI025,normalized,503.0,503.0,,no_unit,0,9.5 hrs,0,,HR 58 AB 7983,HR-58-AB-7983,0,0,1,0
TRP003291,MANDI023,WH-North,02/06/2026 17:53,03-Jun-2026 10:29:33,16.6,766.0,km,PB-51-CD-7947,DRV432,track3_transport_logistics.csv,53,MANDI023,normalized,766.0,766.0,,no_unit,0,16.6,0,16.6,PB-51-CD-7947,PB-51-CD-7947,0,0,0,0
TRP006819,MANDI048,WH-South,23-Jul-2026 07:56:05,23/07/2026 19:02,11.1,446.2,km,DL-38-BC-6694,DRV485,track3_transport_logistics.csv,54,MANDI048,normalized,446.2,446.2,,no_unit,0,11.1,0,11.1,DL-38-BC-6694,DL-38-BC-6694,0,0,0,0
TRP001278,MANDI022,WH-Central,18-Jul-2026 20:53:32,19-Jul-2026 01:41:32,4.8,262.2,km,HR94-DF-4063,DRV934,track3_transport_logistics.csv,55,mandi_022,normalized,262.2,262.2,,no_unit,0,4.8,0,4.8,HR94-DF-4063,HR94-DF-4063,0,0,0,0
TRP001902,MANDI028,Export-Terminal,07/07/2026 07:23,07-08-2026 01:59 AM,18.6,1020.6,km,UP-34-DF-9243,DRV421,track3_transport_logistics.csv,56,MANDI028,normalized,1020.6,1020.6,,no_unit,0,18.6,0,18.6,UP-34-DF-9243,UP-34-DF-9243,0,0,0,0
TRP000440,MANDI054,WH-North,01-22-2026 02:59 PM,2026-01-23 12:23:07,21.4,1016.8,km,up 50-AB-4159,DRV162,track3_transport_logistics.csv,57,MANDI054,normalized,1016.8,1016.8,,no_unit,0,21.4,0,21.4,up 50-AB-4159,UP-50-AB-4159,0,0,0,0
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,10-Apr-2026 22:47:01,16.5,842.6 KM,,,DRV709,track3_transport_logistics.csv,58,MANDI038,normalized,842.6 KM,842.6,KM,resolved,0,16.5,0,16.5,,,1,0,0,0
TRP002456,MANDI016,WH-East,05-Jun-2026 08:59:36,05-Jun-2026 11:59:36,3.0,164.3,km,DL-30-BC-8601,,track3_transport_logistics.csv,59,M016,normalized,164.3,164.3,,no_unit,0,3.0,0,3.0,DL-30-BC-8601,DL-30-BC-8601,0,1,0,0
TRP002904,MANDI007,WH-South,16/01/2026,2026-01-16 16:54:49,10.2,524.1,km,RJ-55-BC-3913,DRV357,track3_transport_logistics.csv,60,mandi007,normalized,524.1,524.1,,no_unit,0,10.2,0,10.2,RJ-55-BC-3913,RJ-55-BC-3913,0,0,0,0
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05T17:53:31,20.6,610.3727332999999,miles,PB83-DF-9790,DRV893,track3_transport_logistics.csv,61,mandi_018,normalized,610.3727332999999,610.3727332999999,,no_unit,0,20.6,0,20.6,PB83-DF-9790,PB83-DF-9790,0,0,0,0
TRP006235,MANDI031,WH-South,01/02/2026 14:55,01-Feb-2026 21:31:24,6.6 hrs,364.3 KM,,HR69-AB-7486,,track3_transport_logistics.csv,62,MANDI031,normalized,364.3 KM,364.3,KM,resolved,0,6.6 hrs,0,,HR69-AB-7486,HR69-AB-7486,0,1,0,0
TRP006410,MANDI049,WH-West,13/01/2026,2026-01-14T15:30:30,20.0 hrs,973.7,km,PB73-BC-6200,DRV302,track3_transport_logistics.csv,63,MANDI-049,normalized,973.7,973.7,,no_unit,0,20.0 hrs,0,,PB73-BC-6200,PB73-BC-6200,0,0,0,0
TRP001922,MANDI045,WH-North,20/03/2026 20:25,21/03/2026 03:37,7.2,297.1,km,HR-67-CD-4681,DRV547,track3_transport_logistics.csv,64,MANDI045,normalized,297.1,297.1,,no_unit,0,7.2,0,7.2,HR-67-CD-4681,HR-67-CD-4681,0,0,0,0
TRP006686,MANDI051,Export-Terminal,01/04/2026 06:14,02-Apr-2026 02:14:05,20.0,1007.1,km,PB 13 DF 2493,,track3_transport_logistics.csv,65,M051,normalized,1007.1,1007.1,,no_unit,0,20.0,0,20.0,PB 13 DF 2493,PB-13-DF-2493,0,1,0,0
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,644.4 KM,,RJ28-DF-3707,DRV628,track3_transport_logistics.csv,66,M032,normalized,644.4 KM,644.4,KM,resolved,0,12.5,0,12.5,RJ28-DF-3707,RJ28-DF-3707,0,0,0,0
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,16/08/2026 03:36,23.8,621.1845887000001,miles,DL 52 BC 1440,DRV361,track3_transport_logistics.csv,67,MANDI044,normalized,621.1845887000001,621.1845887000001,,no_unit,0,23.8,0,23.8,DL 52 BC 1440,DL-52-BC-1440,0,0,0,0
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,20/02/2026,11.9,592.1,km,up 24-CD-4874,DRV886,track3_transport_logistics.csv,68,M027,normalized,592.1,592.1,,no_unit,0,11.9,0,11.9,up 24-CD-4874,UP-24-CD-4874,0,0,0,0
TRP007839,MANDI056,WH-Central,04-23-2026 10:45 AM,2026-04-24T01:33:34,14.8,794.7 KM,,DL-17-DF-2064,DRV560,track3_transport_logistics.csv,69,M056,normalized,794.7 KM,794.7,KM,resolved,0,14.8,0,14.8,DL-17-DF-2064,DL-17-DF-2064,0,0,0,0
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,1021.5 KM,,RJ-44-CD-5651,,track3_transport_logistics.csv,70,MANDI-052,normalized,1021.5 KM,1021.5,KM,resolved,0,19.6,0,19.6,RJ-44-CD-5651,RJ-44-CD-5651,0,1,1,0
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,km,,,track3_transport_logistics.csv,71,mandi017,normalized,479.5,479.5,,no_unit,0,8.4,0,8.4,,,1,1,0,0
TRP005169,MANDI025,Export-Terminal,07-02-2026 05:00 PM,07-02-2026 11:36 PM,6.6 hrs,343.0,km,UP31-CD-6120,DRV353,track3_transport_logistics.csv,72,MANDI025,normalized,343.0,343.0,,no_unit,0,6.6 hrs,0,,UP31-CD-6120,UP31-CD-6120,0,0,0,0
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,12/06/2026,17.6,905.9,km,hr 94-CD-1203,DRV937,track3_transport_logistics.csv,73,MANDI023,normalized,905.9,905.9,,no_unit,0,17.6,0,17.6,hr 94-CD-1203,HR-94-CD-1203,0,0,0,0
TRP001248,MANDI029,WH-South,06/08/2026 00:51,2026-08-06 22:39:09,21.8 hrs,1018.2,km,HR-49-DF-9523,DRV507,track3_transport_logistics.csv,74,mandi029,normalized,1018.2,1018.2,,no_unit,0,21.8 hrs,0,,HR-49-DF-9523,HR-49-DF-9523,0,0,0,0
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,km,up 77-BC-2470,DRV735,track3_transport_logistics.csv,75,MANDI054,normalized,354.5,354.5,,no_unit,0,6.4,0,6.4,up 77-BC-2470,UP-77-BC-2470,0,0,0,0
TRP006454,MANDI019,WH-South,07-Jun-2026 18:33:51,2026-06-08T15:09:51,20.6,743.5325386,miles,dl 39-BC-7294,,track3_transport_logistics.csv,76,MANDI-019,normalized,743.5325386,743.5325386,,no_unit,0,20.6,0,20.6,dl 39-BC-7294,DL-39-BC-7294,0,1,0,0
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,-4.3,185.9,km,RJ-30-DF-3879,DRV891,track3_transport_logistics.csv,77,MANDI-057,normalized,185.9,185.9,,no_unit,0,-4.3,1,,RJ-30-DF-3879,RJ-30-DF-3879,0,0,0,0
TRP007504,MANDI043,Export-Terminal,16-Jan-2026 15:53:18,17/01/2026,19.6,914.9 KM,,UP-78-AB-5221,DRV629,track3_transport_logistics.csv,78,MANDI043,normalized,914.9 KM,914.9,KM,resolved,0,19.6,0,19.6,UP-78-AB-5221,UP-78-AB-5221,0,0,0,0
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03T17:18:29,23.7,1160.4,km,UP-55-CD-7932,,track3_transport_logistics.csv,79,MANDI023,normalized,1160.4,1160.4,,no_unit,0,23.7,0,23.7,UP-55-CD-7932,UP-55-CD-7932,0,1,0,0
TRP006585,MANDI037,WH-West,25-Jul-2026 01:21:38,,-3.7,216.5,km,,DRV203,track3_transport_logistics.csv,80,mandi037,normalized,216.5,216.5,,no_unit,0,-3.7,1,,,,1,0,1,0
TRP005072,MANDI033,WH-West,02/06/2026 09:35,02/06/2026 17:29,7.9,378.4,km,,,track3_transport_logistics.csv,81,MANDI-033,normalized,378.4,378.4,,no_unit,0,7.9,0,7.9,,,1,1,0,0
TRP001684,MANDI023,WH-South,2026-04-02T15:52:48,03-Apr-2026 08:10:48,,852.2,km,PB-27-BC-9556,DRV142,track3_transport_logistics.csv,82,mandi023,normalized,852.2,852.2,,no_unit,0,,0,,PB-27-BC-9556,PB-27-BC-9556,0,0,0,0
TRP005282,MANDI047,WH-East,27/04/2026,04-28-2026 06:09 PM,22.8,842.2062534,miles,DL86-BC-3753,DRV801,track3_transport_logistics.csv,83,047,normalized,842.2062534,842.2062534,,no_unit,0,22.8,0,22.8,DL86-BC-3753,DL86-BC-3753,0,0,0,0
TRP002702,MANDI021,WH-East,15-Aug-2026 13:34:52,,18.7,1052.5,km,dl 36-CD-4633,DRV980,track3_transport_logistics.csv,84,MANDI021,normalized,1052.5,1052.5,,no_unit,0,18.7,0,18.7,dl 36-CD-4633,DL-36-CD-4633,0,0,1,0
TRP005728,MANDI003,WH-Central,04/04/2026 18:01,2026-04-04T22:07:53,4.1,217.4 KM,,PB-53-AB-1832,DRV811,track3_transport_logistics.csv,85,MANDI003,normalized,217.4 KM,217.4,KM,resolved,0,4.1,0,4.1,PB-53-AB-1832,PB-53-AB-1832,0,0,0,0
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,16-Jun-2026 07:05:00,14.9,753.5,km,RJ-27-AB-2586,DRV100,track3_transport_logistics.csv,86,mandi039,normalized,753.5,753.5,,no_unit,0,14.9,0,14.9,RJ-27-AB-2586,RJ-27-AB-2586,0,0,0,0
TRP003747,MANDI044,WH-West,2026-01-06T10:03:07,07-Jan-2026 03:39:07,17.6,710.0,km,up 62-CD-7472,DRV268,track3_transport_logistics.csv,87,MANDI044,normalized,710.0,710.0,,no_unit,0,17.6,0,17.6,up 62-CD-7472,UP-62-CD-7472,0,0,0,0
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,796.1 KM,,hr 28-AB-1975,DRV770,track3_transport_logistics.csv,88,mandi_002,normalized,796.1 KM,796.1,KM,resolved,0,14.1,0,14.1,hr 28-AB-1975,HR-28-AB-1975,0,0,0,0
TRP008483,MANDI029,WH-East,06-11-2026 11:02 AM,11/06/2026,9.5,466.1,km,HR28-BC-5774,DRV713,track3_transport_logistics.csv,89,MANDI029,normalized,466.1,466.1,,no_unit,0,9.5,0,9.5,HR28-BC-5774,HR28-BC-5774,0,0,0,0
TRP002933,MANDI057,WH-South,21-Feb-2026 22:30:34,22/02/2026,10.1,445.6,km,DL 23 AB 5218,DRV564,track3_transport_logistics.csv,90,mandi057,normalized,445.6,445.6,,no_unit,0,10.1,0,10.1,DL 23 AB 5218,DL-23-AB-5218,0,0,0,0
TRP005382,MANDI055,WH-Central,08/06/2026,06-08-2026 11:09 AM,5.2,294.0,km,hr 81-AB-3126,DRV461,track3_transport_logistics.csv,91,MANDI055,normalized,294.0,294.0,,no_unit,0,5.2,0,5.2,hr 81-AB-3126,HR-81-AB-3126,0,0,0,0
TRP004003,MANDI019,WH-South,2026-07-08 04:44:04,09/07/2026,19.8,840.2,km,RJ 14 BC 6388,DRV158,track3_transport_logistics.csv,92,MANDI-019,normalized,840.2,840.2,,no_unit,0,19.8,0,19.8,RJ 14 BC 6388,RJ-14-BC-6388,0,0,0,0
